-- Logs begin at Tue 2019-11-05 22:19:11 UTC, end at Fri 2019-11-08 21:08:46 UTC. --
Nov 08 20:48:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:48:28.259385 W | etcdserver: request "header:<ID:14919139277664070768 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway.15d54470a96c7386\" mod_revision:37103453 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway.15d54470a96c7386\" value_size:390 lease:5695767240809294315 >> failure:<request_range:<key:\"/registry/events/istio-system/istio-ingressgateway.15d54470a96c7386\" > >>" with result "size:20" took too long (133.684904ms) to execute
Nov 08 20:48:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:48:28.259566 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (150.984247ms) to execute
Nov 08 20:48:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:48:28.259841 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (151.051936ms) to execute
Nov 08 20:48:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:48:28.496650 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1149" took too long (176.560782ms) to execute
Nov 08 20:48:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:48:28.497149 W | etcdserver: request "header:<ID:14919139277664070782 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:37110701 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (133.038724ms) to execute
Nov 08 20:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:48:36.750284 N | compactor: Starting auto-compaction at revision 37038173
Nov 08 20:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:48:36.750644 N | compactor: Finished auto-compaction at revision 37038173
Nov 08 20:49:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:49:06.997977 I | mvcc: store.index: compact 37110308
Nov 08 20:49:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:49:07.005108 I | mvcc: finished scheduled compaction at 37110308 (took 5.60892ms)
Nov 08 20:54:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:54:07.011277 I | mvcc: store.index: compact 37111115
Nov 08 20:54:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:54:07.018702 I | mvcc: finished scheduled compaction at 37111115 (took 5.267574ms)
Nov 08 20:59:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:59:07.023924 I | mvcc: store.index: compact 37111855
Nov 08 20:59:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:59:07.031216 I | mvcc: finished scheduled compaction at 37111855 (took 5.632082ms)
Nov 08 20:59:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 20:59:17.491566 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (231.077173ms) to execute
Nov 08 21:03:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:27.727290 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (142.055773ms) to execute
Nov 08 21:03:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:27.727442 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (141.772412ms) to execute
Nov 08 21:03:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:27.727532 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (140.161865ms) to execute
Nov 08 21:03:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:27.727623 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (141.934595ms) to execute
Nov 08 21:03:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:27.727660 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (142.436568ms) to execute
Nov 08 21:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:57.738070 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (152.237088ms) to execute
Nov 08 21:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:57.738116 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (152.096199ms) to execute
Nov 08 21:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:57.738288 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (152.926553ms) to execute
Nov 08 21:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:57.738437 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (152.383439ms) to execute
Nov 08 21:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:03:57.739662 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.authentication.istio.io\" " with result "range_response_count:1 size:683" took too long (153.617804ms) to execute
Nov 08 21:04:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:04:07.096843 I | mvcc: store.index: compact 37112490
Nov 08 21:04:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 21:04:07.106102 I | mvcc: finished scheduled compaction at 37112490 (took 6.589507ms)
