-- Logs begin at Fri 2019-10-25 18:53:13 UTC, end at Thu 2019-10-31 15:46:37 UTC. --
Oct 31 15:26:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:26:14.016216 I | mvcc: store.index: compact 35203314
Oct 31 15:26:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:26:14.023146 I | mvcc: finished scheduled compaction at 35203314 (took 5.446374ms)
Oct 31 15:26:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:26:35.785018 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (103.159658ms) to execute
Oct 31 15:28:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:28:36.437686 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (104.149649ms) to execute
Oct 31 15:28:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:28:46.623058 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta2.autoscaling\" " with result "range_response_count:1 size:640" took too long (119.942488ms) to execute
Oct 31 15:28:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:28:46.623120 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (120.572227ms) to execute
Oct 31 15:28:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:28:46.623630 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (121.789257ms) to execute
Oct 31 15:28:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:28:46.623869 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (119.098732ms) to execute
Oct 31 15:28:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:28:57.690604 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (310.536851ms) to execute
Oct 31 15:28:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:28:57.690723 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (253.963883ms) to execute
Oct 31 15:28:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:28:57.690754 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (131.09368ms) to execute
Oct 31 15:28:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 15:28:59.449746 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (508.954423ms) to execute
