-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 01:34:37 UTC. --
Nov 07 01:13:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:13:11.883350 I | mvcc: store.index: compact 36674752
Nov 07 01:13:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:13:11.890551 I | mvcc: finished scheduled compaction at 36674752 (took 5.71415ms)
Nov 07 01:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:13:12.051733 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (105.202504ms) to execute
Nov 07 01:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:14:51.252777 W | etcdserver: request "header:<ID:14919139277662351080 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-s84b9\" mod_revision:36675679 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-s84b9\" value_size:3504 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-s84b9\" > >>" with result "size:20" took too long (130.266404ms) to execute
Nov 07 01:15:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:15:51.354134 W | etcdserver: request "header:<ID:14919139277662351776 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36675838 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (128.695552ms) to execute
Nov 07 01:15:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:15:51.354284 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5thmq\" " with result "range_response_count:1 size:2946" took too long (137.543864ms) to execute
Nov 07 01:18:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:18:11.896931 I | mvcc: store.index: compact 36675487
Nov 07 01:18:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:18:11.904026 I | mvcc: finished scheduled compaction at 36675487 (took 4.896392ms)
Nov 07 01:18:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:18:13.500954 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000526-0000000002698559.wal is created
Nov 07 01:18:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:18:41.752016 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000521-00000000026712fc.wal successfully
Nov 07 01:19:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:19:28.637903 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (216.451671ms) to execute
Nov 07 01:19:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:19:28.638041 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (217.624064ms) to execute
Nov 07 01:21:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:21:41.800099 W | wal: sync duration of 1.403375431s, expected less than 1s
Nov 07 01:21:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:21:41.802564 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/serviceroles\" range_end:\"/registry/rbac.istio.io/servicerolet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.018227299s) to execute
Nov 07 01:21:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:21:41.802810 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/bypasses\" range_end:\"/registry/config.istio.io/bypasset\" count_only:true " with result "range_response_count:0 size:7" took too long (1.233515432s) to execute
Nov 07 01:21:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:21:41.802842 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.184694194s) to execute
Nov 07 01:23:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:23:11.912985 I | mvcc: store.index: compact 36676174
Nov 07 01:23:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:23:11.921252 I | mvcc: finished scheduled compaction at 36676174 (took 6.391654ms)
Nov 07 01:28:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:28:11.926075 I | mvcc: store.index: compact 36676705
Nov 07 01:28:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:28:11.932289 I | mvcc: finished scheduled compaction at 36676705 (took 4.738624ms)
