-- Logs begin at Mon 2019-11-04 06:45:01 UTC, end at Thu 2019-11-07 13:04:50 UTC. --
Nov 07 12:43:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:43:48.246972 I | mvcc: store.index: compact 36785232
Nov 07 12:43:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:43:48.253515 I | mvcc: finished scheduled compaction at 36785232 (took 4.992825ms)
Nov 07 12:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:44:16.246514 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4172" took too long (148.501075ms) to execute
Nov 07 12:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:44:16.246742 W | etcdserver: request "header:<ID:14919139277662788815 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36786002 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (122.32021ms) to execute
Nov 07 12:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:44:16.247207 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ptc79\" " with result "range_response_count:1 size:2943" took too long (113.899899ms) to execute
Nov 07 12:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:44:16.247241 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (137.158107ms) to execute
Nov 07 12:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:44:16.248062 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (149.230874ms) to execute
Nov 07 12:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:46:16.411189 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w862f\" " with result "range_response_count:1 size:2946" took too long (167.147911ms) to execute
Nov 07 12:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:46:16.411297 W | etcdserver: request "header:<ID:14919139277662790192 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36786325 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (132.459136ms) to execute
Nov 07 12:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:46:16.411385 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-crqk4\" " with result "range_response_count:1 size:2946" took too long (147.632479ms) to execute
Nov 07 12:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:46:16.411521 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (143.074267ms) to execute
Nov 07 12:47:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:47:16.478351 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-865k6\" " with result "range_response_count:1 size:2943" took too long (133.481578ms) to execute
Nov 07 12:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:48:02.426161 N | compactor: Starting auto-compaction at revision 36713592
Nov 07 12:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:48:02.426511 N | compactor: Finished auto-compaction at revision 36713592
Nov 07 12:48:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:48:48.312086 I | mvcc: store.index: compact 36785946
Nov 07 12:48:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:48:48.320455 I | mvcc: finished scheduled compaction at 36785946 (took 7.171591ms)
Nov 07 12:49:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:49:56.836691 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (103.982515ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.161016 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (144.539148ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.433659 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (218.146775ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.433765 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:532" took too long (214.901443ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.433817 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-pilot\" " with result "range_response_count:1 size:536" took too long (216.807715ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.434217 W | etcdserver: request "header:<ID:14919139277662793114 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot-759bbfd844-gxn92.15d4e255642a7981\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-pilot-759bbfd844-gxn92.15d4e255642a7981\" value_size:416 lease:5695767240808017150 >> failure:<>>" with result "size:20" took too long (164.67695ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.448540 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (191.698743ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.448866 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (193.068488ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.449164 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (193.99329ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.453891 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (143.904931ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.454083 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-gxn92\" " with result "range_response_count:1 size:2634" took too long (158.75917ms) to execute
Nov 07 12:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:50:26.687310 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-bsc5s\" " with result "range_response_count:1 size:2620" took too long (117.511782ms) to execute
Nov 07 12:53:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:53:48.327111 I | mvcc: store.index: compact 36786735
Nov 07 12:53:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:53:48.337621 I | mvcc: finished scheduled compaction at 36786735 (took 7.784093ms)
Nov 07 12:54:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:54:02.346197 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (557.959459ms) to execute
Nov 07 12:54:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:54:02.351037 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (281.843041ms) to execute
Nov 07 12:54:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:54:02.351285 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (132.042122ms) to execute
Nov 07 12:54:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:54:16.939865 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (138.339937ms) to execute
Nov 07 12:56:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:56:11.691718 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (139.940689ms) to execute
Nov 07 12:58:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:58:48.340979 I | mvcc: store.index: compact 36787538
Nov 07 12:58:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:58:48.347832 I | mvcc: finished scheduled compaction at 36787538 (took 4.994181ms)
Nov 07 12:58:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 12:58:48.662150 W | etcdserver: request "header:<ID:14919139277662798616 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:36788203 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (126.890425ms) to execute
Nov 07 13:00:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:00:11.795489 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (146.954928ms) to execute
Nov 07 13:00:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:00:11.827190 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (172.464704ms) to execute
Nov 07 13:01:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:01:21.804327 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hm8jj\" " with result "range_response_count:1 size:2946" took too long (120.160419ms) to execute
Nov 07 13:01:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:01:21.804781 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (105.413842ms) to execute
Nov 07 13:01:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:01:21.805084 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (104.06329ms) to execute
