-- Logs begin at Fri 2019-12-20 16:35:16 UTC, end at Sun 2019-12-22 02:03:09 UTC. --
Dec 22 01:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:29.453325 W | etcdserver: request "header:<ID:14919139277709976087 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-nq8zs\" mod_revision:45679311 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-nq8zs\" value_size:1667 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-nq8zs\" > >>" with result "size:20" took too long (115.221476ms) to execute
Dec 22 01:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:29.469274 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (101.619306ms) to execute
Dec 22 01:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:29.675982 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:2102" took too long (125.165228ms) to execute
Dec 22 01:40:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:30.676951 W | etcdserver: request "header:<ID:14919139277709976133 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-l82lb.15e28ddeb460e360\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-l82lb.15e28ddeb460e360\" value_size:360 lease:5695767240855200311 >> failure:<>>" with result "size:20" took too long (112.855504ms) to execute
Dec 22 01:40:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:35.427086 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:3095" took too long (347.953865ms) to execute
Dec 22 01:40:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:35.433774 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mqmkr\" " with result "range_response_count:1 size:1740" took too long (270.232112ms) to execute
Dec 22 01:40:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:35.434042 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-492qg\" " with result "range_response_count:1 size:1744" took too long (108.591291ms) to execute
Dec 22 01:40:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:47.221458 W | wal: sync duration of 1.269275068s, expected less than 1s
Dec 22 01:40:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:47.222739 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.0758807s) to execute
Dec 22 01:40:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:47.233865 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.083503946s) to execute
Dec 22 01:40:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 01:40:47.233978 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (292.4446ms) to execute
