-- Logs begin at Sun 2019-11-03 14:02:52 UTC, end at Wed 2019-11-06 17:17:24 UTC. --
Nov 06 16:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:58:07.112030 I | mvcc: store.index: compact 36592163
Nov 06 16:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:58:07.118320 I | mvcc: finished scheduled compaction at 36592163 (took 4.628411ms)
Nov 06 16:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:58:07.285046 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/opas\" range_end:\"/registry/config.istio.io/opat\" count_only:true " with result "range_response_count:0 size:7" took too long (121.114838ms) to execute
Nov 06 17:00:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:00:07.123966 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (105.609735ms) to execute
Nov 06 17:01:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:01:01.828511 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (113.26677ms) to execute
Nov 06 17:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:02:01.846067 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9b5lb\" " with result "range_response_count:1 size:2946" took too long (124.699814ms) to execute
Nov 06 17:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:02:01.847518 W | etcdserver: request "header:<ID:14919139277662019446 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36593647 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:987 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (125.535878ms) to execute
Nov 06 17:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:02:01.861702 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ntmcl\" " with result "range_response_count:1 size:2946" took too long (116.670043ms) to execute
Nov 06 17:03:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:03:07.201929 I | mvcc: store.index: compact 36593006
Nov 06 17:03:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:03:07.211698 I | mvcc: finished scheduled compaction at 36593006 (took 8.119015ms)
Nov 06 17:03:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:03:07.500085 W | etcdserver: request "header:<ID:14919139277662020168 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:36593811 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (287.015838ms) to execute
Nov 06 17:03:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:03:07.500468 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (257.000562ms) to execute
Nov 06 17:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:04:02.191304 W | etcdserver: request "header:<ID:14919139277662020755 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-kl2gx\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-kl2gx\" value_size:2804 >> failure:<>>" with result "size:20" took too long (132.124002ms) to execute
Nov 06 17:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:04:02.191896 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4a1978255b063\" " with result "range_response_count:1 size:485" took too long (148.036093ms) to execute
Nov 06 17:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:04:02.207186 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-np4gc\" " with result "range_response_count:1 size:2946" took too long (145.863569ms) to execute
Nov 06 17:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:04:02.207230 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4nrzc\" " with result "range_response_count:1 size:2943" took too long (122.612018ms) to execute
