-- Logs begin at Wed 2019-11-06 07:52:18 UTC, end at Sat 2019-11-09 05:04:35 UTC. --
Nov 09 04:44:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:44:12.507613 I | mvcc: store.index: compact 37191347
Nov 09 04:44:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:44:12.514110 I | mvcc: finished scheduled compaction at 37191347 (took 4.992081ms)
Nov 09 04:44:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:44:17.257141 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (163.38442ms) to execute
Nov 09 04:44:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:44:32.983802 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/rbacconfigs\" range_end:\"/registry/rbac.istio.io/rbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (102.796463ms) to execute
Nov 09 04:44:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:44:32.983966 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (236.361137ms) to execute
Nov 09 04:45:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:45:39.590012 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (265.094615ms) to execute
Nov 09 04:45:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:45:39.609155 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (248.53825ms) to execute
Nov 09 04:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:46:11.840659 W | wal: sync duration of 1.150883368s, expected less than 1s
Nov 09 04:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:46:11.843599 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (123.937191ms) to execute
Nov 09 04:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:46:11.843655 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (255.189193ms) to execute
Nov 09 04:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:46:11.843743 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (677.522508ms) to execute
Nov 09 04:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:46:11.844032 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (741.120504ms) to execute
Nov 09 04:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:46:11.844496 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (992.704798ms) to execute
Nov 09 04:46:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:46:12.013245 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (157.757125ms) to execute
Nov 09 04:47:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:47:07.118239 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (282.832787ms) to execute
Nov 09 04:47:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:47:12.471366 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (262.511673ms) to execute
Nov 09 04:47:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:47:12.471682 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (323.45953ms) to execute
Nov 09 04:47:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:47:12.471909 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (169.371471ms) to execute
Nov 09 04:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:48:36.870014 N | compactor: Starting auto-compaction at revision 37111051
Nov 09 04:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 04:48:36.870460 N | compactor: Finished auto-compaction at revision 37111051
