-- Logs begin at Mon 2019-11-04 06:45:01 UTC, end at Thu 2019-11-07 15:10:12 UTC. --
Nov 07 14:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:48:02.730321 N | compactor: Starting auto-compaction at revision 36732644
Nov 07 14:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:48:02.730750 N | compactor: Finished auto-compaction at revision 36732644
Nov 07 14:48:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:48:49.748427 I | mvcc: store.index: compact 36807088
Nov 07 14:48:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:48:49.755311 I | mvcc: finished scheduled compaction at 36807088 (took 5.327776ms)
Nov 07 14:49:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:49:09.088435 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotas\" range_end:\"/registry/config.istio.io/quotat\" count_only:true " with result "range_response_count:0 size:7" took too long (111.804147ms) to execute
Nov 07 14:49:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:49:26.200816 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (165.113402ms) to execute
Nov 07 14:49:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:49:26.200948 W | etcdserver: request "header:<ID:14919139277662874678 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d4e8d3c1e47b5e\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d4e8d3c1e47b5e\" value_size:403 lease:5695767240808098655 >> failure:<>>" with result "size:20" took too long (142.673787ms) to execute
Nov 07 14:49:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:49:26.202541 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (143.019592ms) to execute
Nov 07 14:49:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:49:26.241412 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/checknothings\" range_end:\"/registry/config.istio.io/checknothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (106.340753ms) to execute
Nov 07 14:49:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:49:26.241927 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-8ts7b\" " with result "range_response_count:1 size:2738" took too long (155.637484ms) to execute
Nov 07 14:49:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 14:49:26.465205 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-lxxdb\" " with result "range_response_count:1 size:2738" took too long (114.757566ms) to execute
