-- Logs begin at Mon 2019-11-04 19:08:25 UTC, end at Thu 2019-11-07 21:24:19 UTC. --
Nov 07 21:03:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:03:53.228445 I | mvcc: store.index: compact 36870011
Nov 07 21:03:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:03:53.234742 I | mvcc: finished scheduled compaction at 36870011 (took 4.917917ms)
Nov 07 21:04:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:04:11.940243 W | etcdserver: request "header:<ID:14919139277663119640 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:36870823 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (109.16742ms) to execute
Nov 07 21:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:04:27.021489 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (164.464824ms) to execute
Nov 07 21:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:04:27.024950 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (158.486528ms) to execute
Nov 07 21:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:04:27.025009 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (160.093215ms) to execute
Nov 07 21:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:04:27.025214 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-wllsf\" " with result "range_response_count:1 size:2738" took too long (124.155879ms) to execute
Nov 07 21:06:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:06:38.155034 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (153.617794ms) to execute
Nov 07 21:06:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:06:38.157868 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (151.635621ms) to execute
Nov 07 21:06:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:06:38.158155 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (127.651366ms) to execute
Nov 07 21:06:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 21:06:38.158347 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-drvxp\" " with result "range_response_count:1 size:2946" took too long (137.264884ms) to execute
