-- Logs begin at Sun 2019-11-03 00:17:30 UTC, end at Wed 2019-11-06 11:51:27 UTC. --
Nov 06 11:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:36.777856 W | wal: sync duration of 1.92658585s, expected less than 1s
Nov 06 11:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:36.780936 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.812304221s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.170860 W | wal: sync duration of 2.392791328s, expected less than 1s
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.233462 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (3.020986517s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.233507 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.725003132s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.233536 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (3.701057854s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.233588 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (4.176275418s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.233751 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (2.675516455s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.233775 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (2.685339231s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.233895 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:10" took too long (3.490110057s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.357264 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (506.672073ms) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.357538 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-g9sjc\" " with result "range_response_count:1 size:2314" took too long (772.512879ms) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.357714 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-sidecar-injector-service-account-token-s5gp2\" " with result "range_response_count:1 size:2510" took too long (1.179541878s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.357756 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.850546029s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.357776 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-g9sjc\" " with result "range_response_count:1 size:2314" took too long (1.137673834s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.357916 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (1.445515861s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.357941 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (1.960749722s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.357963 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (1.265455987s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.358122 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (2.372599903s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.358565 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (1.610451685s) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.359005 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-g9sjc\" " with result "range_response_count:1 size:2314" took too long (187.807858ms) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.359265 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (116.879093ms) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.359422 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (117.588736ms) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.359517 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (132.434273ms) to execute
Nov 06 11:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:39.359737 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (118.738912ms) to execute
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.446935 W | wal: sync duration of 3.074653891s, expected less than 1s
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.449480 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (3.081338629s) to execute
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.449761 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (3.07944825s) to execute
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.449957 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/resourcequota-controller\" " with result "range_response_count:1 size:271" took too long (3.081559472s) to execute
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.450234 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-sidecar-injector-service-account\" " with result "range_response_count:1 size:794" took too long (3.082093965s) to execute
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.450399 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (3.082406876s) to execute
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.450677 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (3.082601358s) to execute
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.450768 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (3.083080037s) to execute
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.450907 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (3.082807785s) to execute
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.451092 W | etcdserver: failed to revoke 4f0b6e20c79c1dba ("lease not found")
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.451145 W | etcdserver: failed to revoke 4f0b6e20c79c1dba ("lease not found")
Nov 06 11:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:42.451237 W | etcdserver: failed to revoke 4f0b6e20c79c1dba ("lease not found")
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.500871 W | wal: sync duration of 1.05365686s, expected less than 1s
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.504136 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3042" took too long (1.043426704s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.504166 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/checknothings\" range_end:\"/registry/config.istio.io/checknothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (2.578372553s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.504461 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-g9sjc\" " with result "range_response_count:1 size:2314" took too long (2.919069259s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.504509 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-g9sjc\" " with result "range_response_count:1 size:2314" took too long (3.12810297s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.504614 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/dogstatsds\" range_end:\"/registry/config.istio.io/dogstatsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.881384415s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.504751 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (3.751671539s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.504797 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-g9sjc\" " with result "range_response_count:1 size:2314" took too long (2.593756569s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.504901 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.139559652s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.505002 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-g9sjc\" " with result "range_response_count:1 size:2314" took too long (2.509951655s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.505034 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (4.131069861s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.505108 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (4.130576724s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.505178 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (2.901030526s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.505197 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (1.046544829s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.505396 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6487" took too long (797.76388ms) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.505574 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6487" took too long (1.045172717s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.505729 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (1.046134158s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.505874 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (2.215293341s) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.506039 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (125.951271ms) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.506223 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops\" range_end:\"/registry/config.istio.io/noopt\" count_only:true " with result "range_response_count:0 size:7" took too long (747.401691ms) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.506401 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (911.940041ms) to execute
Nov 06 11:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 11:29:43.506572 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-n8h98\" " with result "range_response_count:1 size:2440" took too long (747.750969ms) to execute
