-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 08:37:44 UTC. --
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.476587 W | etcdserver: request "header:<ID:14919139277660745361 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d43647720000df\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d43647720000df\" value_size:403 lease:5695767240805969078 >> failure:<>>" with result "size:20" took too long (128.226845ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.496503 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (149.208692ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.540187 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (145.402428ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.540480 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (192.825604ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.721967 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (168.274682ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.722093 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (174.909818ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.758551 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (178.629527ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.759128 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (181.757845ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.938271 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (127.414951ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.938334 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (128.580108ms) to execute
Nov 05 08:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 08:17:30.938371 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (153.424037ms) to execute
