-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 08:09:08 UTC. --
Nov 07 07:47:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:47:00.004125 N | compactor: Starting auto-compaction at revision 36660743
Nov 07 07:47:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:47:00.004502 N | compactor: Finished auto-compaction at revision 36660743
Nov 07 07:48:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:48:31.301482 I | mvcc: store.index: compact 36739467
Nov 07 07:48:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:48:31.307474 I | mvcc: finished scheduled compaction at 36739467 (took 4.851727ms)
Nov 07 07:48:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:48:43.332839 W | etcdserver: request "header:<ID:14919139277662600908 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:36740213 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (163.481032ms) to execute
Nov 07 07:48:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:48:43.332985 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-v224b.15d4d1be07e1b555\" " with result "range_response_count:1 size:468" took too long (155.090602ms) to execute
Nov 07 07:50:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:50:59.033741 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (152.517251ms) to execute
Nov 07 07:52:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:52:03.885281 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (246.556088ms) to execute
Nov 07 07:52:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:52:53.974235 W | etcdserver: request "header:<ID:14919139277662603866 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d4d218ce32053f\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d4d218ce32053f\" value_size:354 lease:5695767240807828046 >> failure:<>>" with result "size:20" took too long (121.592625ms) to execute
Nov 07 07:53:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:53:31.333016 I | mvcc: store.index: compact 36740209
Nov 07 07:53:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:53:31.338472 I | mvcc: finished scheduled compaction at 36740209 (took 4.429683ms)
Nov 07 07:53:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:53:44.093377 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (269.160856ms) to execute
Nov 07 07:53:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:53:44.093821 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (130.18014ms) to execute
Nov 07 07:54:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:54:34.018515 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (127.057855ms) to execute
Nov 07 07:54:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:54:34.018791 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v224b\" " with result "range_response_count:1 size:4141" took too long (147.191319ms) to execute
Nov 07 07:57:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:57:11.505626 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (101.163596ms) to execute
Nov 07 07:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:57:12.224921 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (177.608272ms) to execute
Nov 07 07:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:57:12.226408 W | etcdserver: request "header:<ID:14919139277662606943 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-egressgateway\" mod_revision:36741723 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-egressgateway\" value_size:5825 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-egressgateway\" > >>" with result "size:20" took too long (137.499955ms) to execute
Nov 07 07:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 07:57:12.455540 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (130.247555ms) to execute
