-- Logs begin at Sat 2019-11-02 08:56:48 UTC, end at Tue 2019-11-05 14:27:31 UTC. --
Nov 05 14:07:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:07:28.283773 W | etcdserver: request "header:<ID:14919139277660954578 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36325478 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (118.484933ms) to execute
Nov 05 14:07:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:07:28.284184 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (128.826283ms) to execute
Nov 05 14:07:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:07:28.284239 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (128.917438ms) to execute
Nov 05 14:07:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:07:28.284391 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vm9fh\" " with result "range_response_count:1 size:1121" took too long (118.567151ms) to execute
Nov 05 14:07:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:07:51.627780 I | mvcc: store.index: compact 36324132
Nov 05 14:07:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:07:51.633519 I | mvcc: finished scheduled compaction at 36324132 (took 4.360298ms)
Nov 05 14:08:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:08:28.381705 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rhdg7\" " with result "range_response_count:1 size:1121" took too long (158.573654ms) to execute
Nov 05 14:08:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:08:28.382037 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p8qbk\" " with result "range_response_count:1 size:1121" took too long (157.4599ms) to execute
Nov 05 14:08:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:08:28.386295 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (137.134966ms) to execute
Nov 05 14:09:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:09:28.542766 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lbns5\" " with result "range_response_count:1 size:1121" took too long (158.175917ms) to execute
Nov 05 14:09:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:09:28.542873 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2s8s7\" " with result "range_response_count:1 size:1121" took too long (160.170505ms) to execute
Nov 05 14:09:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:09:28.543542 W | etcdserver: request "header:<ID:14919139277660955695 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d4497c5cf9ce1b\" mod_revision:36325826 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d4497c5cf9ce1b\" value_size:386 lease:5695767240806179853 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d4497c5cf9ce1b\" > >>" with result "size:20" took too long (128.928999ms) to execute
Nov 05 14:09:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 14:09:28.559018 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-85cxv\" " with result "range_response_count:1 size:1121" took too long (144.674579ms) to execute
