-- Logs begin at Mon 2019-11-04 19:08:25 UTC, end at Fri 2019-11-08 00:19:31 UTC. --
Nov 07 23:58:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 23:58:54.559937 I | mvcc: store.index: compact 36898453
Nov 07 23:58:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 23:58:54.566877 I | mvcc: finished scheduled compaction at 36898453 (took 5.342566ms)
Nov 08 00:01:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:01:09.486208 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (137.239601ms) to execute
Nov 08 00:01:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:01:09.486463 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-r7x2g.15d506b3f25d949d\" " with result "range_response_count:1 size:561" took too long (203.611202ms) to execute
Nov 08 00:01:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:01:09.706875 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (120.058987ms) to execute
Nov 08 00:02:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:02:25.109373 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (127.934976ms) to execute
Nov 08 00:03:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:03:25.166233 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (132.664237ms) to execute
Nov 08 00:03:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:03:25.167366 W | etcdserver: request "header:<ID:14919139277663237090 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-62nbn\" mod_revision:36900530 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-62nbn\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-62nbn\" > >>" with result "size:20" took too long (117.609996ms) to execute
Nov 08 00:03:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:03:25.168539 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-624hq\" " with result "range_response_count:1 size:1121" took too long (121.128406ms) to execute
Nov 08 00:03:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:03:54.576259 I | mvcc: store.index: compact 36899864
Nov 08 00:03:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:03:54.584442 I | mvcc: finished scheduled compaction at 36899864 (took 6.925247ms)
Nov 08 00:03:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:03:54.944964 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (324.651804ms) to execute
Nov 08 00:03:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:03:54.945176 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (317.225541ms) to execute
Nov 08 00:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:04:25.326664 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lmtrz\" " with result "range_response_count:1 size:1118" took too long (165.85667ms) to execute
Nov 08 00:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:04:25.326794 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hvt5z\" " with result "range_response_count:1 size:1121" took too long (165.42782ms) to execute
Nov 08 00:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:04:25.327101 W | etcdserver: request "header:<ID:14919139277663237631 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-vp2v5\" mod_revision:36900686 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-vp2v5\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-vp2v5\" > >>" with result "size:20" took too long (132.6511ms) to execute
Nov 08 00:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:04:25.342227 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rqz2x\" " with result "range_response_count:1 size:1121" took too long (154.706321ms) to execute
Nov 08 00:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:04:25.342312 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v2lt9\" " with result "range_response_count:1 size:1121" took too long (154.837243ms) to execute
Nov 08 00:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:04:25.342448 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d5071cceb2c39f\" " with result "range_response_count:1 size:485" took too long (162.222004ms) to execute
Nov 08 00:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:04:25.557213 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bb4s7\" " with result "range_response_count:1 size:1121" took too long (122.568114ms) to execute
Nov 08 00:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:05:25.397309 W | etcdserver: request "header:<ID:14919139277663238230 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-h9qfm.15d5072acba6483a\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-h9qfm.15d5072acba6483a\" value_size:392 lease:5695767240808462391 >> failure:<>>" with result "size:20" took too long (133.496611ms) to execute
Nov 08 00:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:05:25.398618 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h9qfm\" " with result "range_response_count:1 size:1121" took too long (148.454527ms) to execute
Nov 08 00:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:05:25.413213 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6gps7\" " with result "range_response_count:1 size:1121" took too long (150.281589ms) to execute
Nov 08 00:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:05:25.413428 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gsrvm\" " with result "range_response_count:1 size:1121" took too long (156.491835ms) to execute
Nov 08 00:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:05:25.413549 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vl6fw\" " with result "range_response_count:1 size:1121" took too long (146.183662ms) to execute
Nov 08 00:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:05:25.413657 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d5071cceb2c39f\" " with result "range_response_count:1 size:485" took too long (162.910686ms) to execute
Nov 08 00:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:05:25.616836 W | etcdserver: request "header:<ID:14919139277663238252 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d5071cceb2c39f\" mod_revision:36900932 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d5071cceb2c39f\" value_size:386 lease:5695767240808462391 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d5071cceb2c39f\" > >>" with result "size:20" took too long (119.020925ms) to execute
Nov 08 00:08:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:08:54.589984 I | mvcc: store.index: compact 36900624
Nov 08 00:08:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:08:54.596141 I | mvcc: finished scheduled compaction at 36900624 (took 4.555002ms)
Nov 08 00:13:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:13:54.605990 I | mvcc: store.index: compact 36901358
Nov 08 00:13:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:13:54.611006 I | mvcc: finished scheduled compaction at 36901358 (took 3.925307ms)
