-- Logs begin at Fri 2019-11-08 22:50:13 UTC, end at Mon 2019-11-11 08:03:38 UTC. --
Nov 11 07:45:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:45:25.722309 I | mvcc: store.index: compact 37700182
Nov 11 07:45:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:45:25.728153 I | mvcc: finished scheduled compaction at 37700182 (took 4.550479ms)
Nov 11 07:46:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:46:25.818292 W | etcdserver: request "header:<ID:14919139277666415684 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-6jz9k\" mod_revision:37701029 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-6jz9k\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-6jz9k\" > >>" with result "size:20" took too long (112.501172ms) to execute
Nov 11 07:46:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:46:25.818817 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (109.220446ms) to execute
Nov 11 07:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:48:25.991128 W | etcdserver: request "header:<ID:14919139277666416806 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-nwsf8\" mod_revision:37701371 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-nwsf8\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-nwsf8\" > >>" with result "size:20" took too long (120.232588ms) to execute
Nov 11 07:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:48:25.991521 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (125.872636ms) to execute
Nov 11 07:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:48:25.991893 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-76q98\" " with result "range_response_count:1 size:1121" took too long (126.21214ms) to execute
Nov 11 07:49:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:49:26.222668 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (148.175603ms) to execute
Nov 11 07:49:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:49:26.253883 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2t6t2\" " with result "range_response_count:1 size:1121" took too long (172.682624ms) to execute
Nov 11 07:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:49:30.986559 N | compactor: Starting auto-compaction at revision 37622105
Nov 11 07:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:49:30.987113 N | compactor: Finished auto-compaction at revision 37622105
Nov 11 07:50:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:50:25.806258 I | mvcc: store.index: compact 37700889
Nov 11 07:50:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:50:25.812418 I | mvcc: finished scheduled compaction at 37700889 (took 4.468167ms)
Nov 11 07:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:50:26.218456 W | etcdserver: request "header:<ID:14919139277666417988 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-vrnhc\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-vrnhc\" value_size:976 >> failure:<>>" with result "size:20" took too long (125.502224ms) to execute
Nov 11 07:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:50:26.218701 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d60c3aaf218a56\" " with result "range_response_count:1 size:485" took too long (138.489819ms) to execute
Nov 11 07:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:50:26.447580 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-52qfw\" " with result "range_response_count:1 size:1118" took too long (158.194227ms) to execute
Nov 11 07:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:50:26.447740 W | etcdserver: request "header:<ID:14919139277666418011 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-52qfw.15d60c48b844bea3\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-52qfw.15d60c48b844bea3\" value_size:389 lease:5695767240811642160 >> failure:<>>" with result "size:20" took too long (127.616847ms) to execute
Nov 11 07:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:50:26.463634 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d60c3aaf218a56\" " with result "range_response_count:1 size:485" took too long (154.093726ms) to execute
Nov 11 07:50:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:50:26.463719 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vbprw\" " with result "range_response_count:1 size:1121" took too long (159.589643ms) to execute
