-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Mon 2019-11-04 22:23:31 UTC. --
Nov 04 22:02:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:02:44.057966 I | mvcc: store.index: compact 36170757
Nov 04 22:02:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:02:44.064540 I | mvcc: finished scheduled compaction at 36170757 (took 4.936096ms)
Nov 04 22:04:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:04:43.293552 I | etcdserver: start to snapshot (applied: 39924928, lastsnap: 39914927)
Nov 04 22:04:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:04:43.365830 I | etcdserver: saved snapshot at index 39924928
Nov 04 22:04:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:04:43.366316 I | etcdserver: compacted raft log at 39919928
Nov 04 22:05:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:05:08.346550 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000260716b.snap successfully
Nov 04 22:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:06:04.982656 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (134.884329ms) to execute
Nov 04 22:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:06:04.985585 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (131.386324ms) to execute
Nov 04 22:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:06:04.985602 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-krbgq\" " with result "range_response_count:1 size:1121" took too long (121.795309ms) to execute
Nov 04 22:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:06:04.985618 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (131.786202ms) to execute
Nov 04 22:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:06:04.985701 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (137.139998ms) to execute
Nov 04 22:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:06:04.985729 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-psw2n\" " with result "range_response_count:1 size:1121" took too long (131.159073ms) to execute
Nov 04 22:07:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:07:44.071907 I | mvcc: store.index: compact 36171470
Nov 04 22:07:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:07:44.077604 I | mvcc: finished scheduled compaction at 36171470 (took 4.631819ms)
Nov 04 22:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:11:05.391378 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mq7kn\" " with result "range_response_count:1 size:1121" took too long (129.718287ms) to execute
Nov 04 22:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:11:05.391808 W | etcdserver: request "header:<ID:14919139277660397519 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36172806 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (118.468341ms) to execute
Nov 04 22:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:11:05.408126 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (137.815967ms) to execute
Nov 04 22:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:35.495797 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (145.954206ms) to execute
Nov 04 22:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:35.496142 W | etcdserver: request "header:<ID:14919139277660398381 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-vksss.15d41544dbfd6e98\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-vksss.15d41544dbfd6e98\" value_size:392 lease:5695767240805622254 >> failure:<>>" with result "size:20" took too long (124.180567ms) to execute
Nov 04 22:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:35.515563 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r9ddg\" " with result "range_response_count:1 size:1121" took too long (144.034099ms) to execute
Nov 04 22:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:35.515804 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vksss\" " with result "range_response_count:1 size:1121" took too long (153.041957ms) to execute
Nov 04 22:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:35.516007 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d41544dac7f3dd\" " with result "range_response_count:1 size:485" took too long (158.621257ms) to execute
Nov 04 22:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:35.520960 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-92nf9\" " with result "range_response_count:1 size:1624" took too long (112.417824ms) to execute
Nov 04 22:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:35.726949 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (150.360751ms) to execute
Nov 04 22:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:35.727385 W | etcdserver: request "header:<ID:14919139277660398403 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-xsk5c\" mod_revision:36173092 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-xsk5c\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-xsk5c\" > >>" with result "size:20" took too long (129.425935ms) to execute
Nov 04 22:12:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:44.084908 I | mvcc: store.index: compact 36172282
Nov 04 22:12:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:12:44.092289 I | mvcc: finished scheduled compaction at 36172282 (took 4.81873ms)
Nov 04 22:14:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:35.678358 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d41544dac7f3dd\" " with result "range_response_count:1 size:485" took too long (140.586426ms) to execute
Nov 04 22:14:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:35.718087 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xv2tl\" " with result "range_response_count:1 size:1121" took too long (172.093944ms) to execute
Nov 04 22:14:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:35.718135 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qsjcz\" " with result "range_response_count:1 size:1121" took too long (176.047493ms) to execute
Nov 04 22:14:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:35.924806 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vhp5m\" " with result "range_response_count:1 size:1121" took too long (172.772183ms) to execute
Nov 04 22:14:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:35.925010 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-psq4h\" " with result "range_response_count:1 size:1121" took too long (176.511449ms) to execute
Nov 04 22:14:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:35.955699 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b2458\" " with result "range_response_count:1 size:1121" took too long (160.579754ms) to execute
Nov 04 22:14:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:35.955778 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (143.774031ms) to execute
Nov 04 22:14:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:35.956280 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dqgz7\" " with result "range_response_count:1 size:1118" took too long (173.336484ms) to execute
Nov 04 22:14:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:35.957228 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (175.498413ms) to execute
Nov 04 22:14:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:36.139512 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d41544dac7f3dd\" " with result "range_response_count:1 size:485" took too long (123.592905ms) to execute
Nov 04 22:14:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:36.139716 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (124.845318ms) to execute
Nov 04 22:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:38.260118 W | etcdserver: request "header:<ID:14919139277660399536 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-dqgz7\" mod_revision:36173413 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-dqgz7\" value_size:1663 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-dqgz7\" > >>" with result "size:20" took too long (125.324695ms) to execute
Nov 04 22:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:38.260554 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:2659" took too long (138.589452ms) to execute
Nov 04 22:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:38.261262 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-psq4h\" " with result "range_response_count:1 size:1502" took too long (109.420974ms) to execute
Nov 04 22:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:14:38.261571 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (104.995861ms) to execute
Nov 04 22:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:17:44.099027 I | mvcc: store.index: compact 36173155
Nov 04 22:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:17:44.105704 I | mvcc: finished scheduled compaction at 36173155 (took 5.315742ms)
Nov 04 22:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:17:44.341954 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (110.777247ms) to execute
Nov 04 22:19:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:19:42.868724 W | wal: sync duration of 1.952045916s, expected less than 1s
Nov 04 22:19:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:19:42.873590 W | etcdserver: request "header:<ID:14919139277660402118 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:36174143 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (1.9564284s) to execute
Nov 04 22:19:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:19:42.873878 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.899890447s) to execute
Nov 04 22:19:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:19:42.873978 W | etcdserver: failed to revoke 4f0b6e20c7862fbf ("lease not found")
