-- Logs begin at Mon 2019-11-04 06:45:01 UTC, end at Thu 2019-11-07 11:02:14 UTC. --
Nov 07 10:41:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:41:01.801427 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000529-00000000026b083d.wal is created
Nov 07 10:41:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:41:12.405374 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000524-0000000002688c2d.wal successfully
Nov 07 10:43:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:43:47.564492 I | mvcc: store.index: compact 36766819
Nov 07 10:43:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:43:47.572672 I | mvcc: finished scheduled compaction at 36766819 (took 6.449108ms)
Nov 07 10:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:46:19.488898 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (124.905165ms) to execute
Nov 07 10:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:46:19.489063 W | etcdserver: request "header:<ID:14919139277662712279 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-rlqgx.15d4db8f8791502c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-rlqgx.15d4db8f8791502c\" value_size:392 lease:5695767240807936450 >> failure:<>>" with result "size:20" took too long (118.508736ms) to execute
Nov 07 10:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:46:19.489729 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (123.498445ms) to execute
Nov 07 10:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:46:19.489792 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (124.54675ms) to execute
Nov 07 10:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:46:19.490139 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rlqgx\" " with result "range_response_count:1 size:1121" took too long (117.375681ms) to execute
Nov 07 10:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:46:19.490478 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (123.355239ms) to execute
Nov 07 10:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:46:19.490563 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rll9d\" " with result "range_response_count:1 size:1121" took too long (103.870374ms) to execute
Nov 07 10:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:48:02.411915 N | compactor: Starting auto-compaction at revision 36691259
Nov 07 10:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:48:02.412502 N | compactor: Finished auto-compaction at revision 36691259
Nov 07 10:48:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:48:47.577316 I | mvcc: store.index: compact 36767512
Nov 07 10:48:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:48:47.582159 I | mvcc: finished scheduled compaction at 36767512 (took 4.020156ms)
Nov 07 10:51:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:51:20.057922 W | etcdserver: request "header:<ID:14919139277662714987 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36768624 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (120.778811ms) to execute
Nov 07 10:51:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:51:20.058204 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (107.967355ms) to execute
Nov 07 10:51:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:51:20.058565 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rlqgx\" " with result "range_response_count:1 size:1734" took too long (125.490306ms) to execute
Nov 07 10:53:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:53:47.591046 I | mvcc: store.index: compact 36768242
Nov 07 10:53:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:53:47.595846 I | mvcc: finished scheduled compaction at 36768242 (took 3.709325ms)
Nov 07 10:55:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:55:20.810854 W | etcdserver: request "header:<ID:14919139277662717273 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-tpqvx\" mod_revision:36769327 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-tpqvx\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-tpqvx\" > >>" with result "size:20" took too long (125.213635ms) to execute
