-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Mon 2019-11-04 19:32:33 UTC. --
Nov 04 19:12:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:12:42.442137 I | mvcc: store.index: compact 36146483
Nov 04 19:12:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:12:42.447928 I | mvcc: finished scheduled compaction at 36146483 (took 4.152641ms)
Nov 04 19:15:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:15:48.937274 W | etcdserver: request "header:<ID:14919139277660303214 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:36147648 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (108.050464ms) to execute
Nov 04 19:16:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:16:19.325318 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1407" took too long (103.427153ms) to execute
Nov 04 19:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:16:29.701324 W | etcdserver: request "header:<ID:14919139277660303603 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36147767 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (122.781405ms) to execute
Nov 04 19:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:16:29.701947 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (136.017418ms) to execute
Nov 04 19:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:16:29.702576 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (135.993583ms) to execute
Nov 04 19:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:16:29.702761 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-t55bz\" " with result "range_response_count:1 size:1121" took too long (116.643723ms) to execute
Nov 04 19:17:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:17:42.463145 I | mvcc: store.index: compact 36147229
Nov 04 19:17:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:17:42.469249 I | mvcc: finished scheduled compaction at 36147229 (took 4.177965ms)
Nov 04 19:17:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:17:43.154995 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (171.977312ms) to execute
Nov 04 19:17:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:17:57.609760 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (201.987908ms) to execute
Nov 04 19:17:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:17:57.609812 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (204.848086ms) to execute
Nov 04 19:17:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:17:57.609897 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (204.88259ms) to execute
Nov 04 19:22:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:22:40.678344 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (198.847057ms) to execute
Nov 04 19:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:22:42.496535 I | mvcc: store.index: compact 36147983
Nov 04 19:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:22:42.503529 I | mvcc: finished scheduled compaction at 36147983 (took 5.421996ms)
Nov 04 19:24:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:24:51.653042 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (122.046406ms) to execute
Nov 04 19:27:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:27:18.540352 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (135.68728ms) to execute
Nov 04 19:27:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:27:42.588656 I | mvcc: store.index: compact 36148735
Nov 04 19:27:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:27:42.599387 I | mvcc: finished scheduled compaction at 36148735 (took 8.991534ms)
Nov 04 19:28:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:28:44.477323 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (623.651848ms) to execute
