-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 02:48:08 UTC. --
Nov 07 02:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:28:12.225315 I | mvcc: store.index: compact 36687482
Nov 07 02:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:28:12.231191 I | mvcc: finished scheduled compaction at 36687482 (took 4.041732ms)
Nov 07 02:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:30:40.320118 W | etcdserver: request "header:<ID:14919139277662399020 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d4c083528e56e9\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d4c083528e56e9\" value_size:354 lease:5695767240807623139 >> failure:<>>" with result "size:20" took too long (129.287136ms) to execute
Nov 07 02:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:30:40.321271 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (141.702514ms) to execute
Nov 07 02:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:30:40.334929 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4d9lw\" " with result "range_response_count:1 size:1121" took too long (148.480253ms) to execute
Nov 07 02:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:30:40.335142 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (153.34169ms) to execute
Nov 07 02:32:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:32:55.457003 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5thd9\" " with result "range_response_count:1 size:1730" took too long (134.940189ms) to execute
Nov 07 02:32:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:32:55.952409 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (454.300629ms) to execute
Nov 07 02:32:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:32:55.957972 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sbfqg\" " with result "range_response_count:1 size:1118" took too long (443.258807ms) to execute
Nov 07 02:32:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:32:55.958376 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (245.893268ms) to execute
Nov 07 02:32:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:32:55.958674 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7j9xd\" " with result "range_response_count:1 size:1121" took too long (438.560818ms) to execute
Nov 07 02:33:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:01.029938 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (223.193718ms) to execute
Nov 07 02:33:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:01.029975 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (568.915321ms) to execute
Nov 07 02:33:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:01.030016 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (743.409729ms) to execute
Nov 07 02:33:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:12.478690 I | mvcc: store.index: compact 36688170
Nov 07 02:33:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:12.480246 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (206.970226ms) to execute
Nov 07 02:33:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:12.485720 I | mvcc: finished scheduled compaction at 36688170 (took 5.896498ms)
Nov 07 02:33:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:21.883856 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (251.751668ms) to execute
Nov 07 02:33:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:27.537943 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-s84qj.15d4c083afad7106\" " with result "range_response_count:1 size:550" took too long (541.94647ms) to execute
Nov 07 02:33:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:27.538878 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (385.364217ms) to execute
Nov 07 02:33:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:28.342931 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (546.358719ms) to execute
Nov 07 02:33:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:28.343074 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (433.481227ms) to execute
Nov 07 02:33:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:28.343300 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (241.176942ms) to execute
Nov 07 02:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:29.203950 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (341.815355ms) to execute
Nov 07 02:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:29.206367 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s84qj\" " with result "range_response_count:1 size:1735" took too long (298.14714ms) to execute
Nov 07 02:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:29.206570 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (154.958349ms) to execute
Nov 07 02:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 02:33:29.206843 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (207.768794ms) to execute
