-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 06:34:56 UTC. --
Nov 05 06:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:17:47.970577 I | mvcc: store.index: compact 36250390
Nov 05 06:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:17:47.977257 I | mvcc: finished scheduled compaction at 36250390 (took 5.374148ms)
Nov 05 06:18:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:18:20.981493 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (474.295771ms) to execute
Nov 05 06:18:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:18:31.184187 W | etcdserver: request "header:<ID:14919139277660679396 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36251164 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (114.786473ms) to execute
Nov 05 06:18:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:18:49.457159 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (312.845872ms) to execute
Nov 05 06:20:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:20:00.129102 W | etcdserver: request "header:<ID:14919139277660680255 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:36251422 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6412 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (263.836032ms) to execute
Nov 05 06:20:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:20:30.820486 W | etcdserver: request "header:<ID:14919139277660680543 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:36251505 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (107.409709ms) to execute
Nov 05 06:20:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:20:32.573447 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (145.619173ms) to execute
Nov 05 06:21:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:21:33.000528 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (129.120286ms) to execute
Nov 05 06:21:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:21:57.457733 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (249.150799ms) to execute
Nov 05 06:22:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:22:20.734594 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (135.50453ms) to execute
Nov 05 06:22:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:22:22.461089 W | etcdserver: request "header:<ID:14919139277660681514 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:36251818 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:733 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (359.718845ms) to execute
Nov 05 06:22:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:22:24.659507 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (104.696077ms) to execute
Nov 05 06:22:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:22:47.984539 I | mvcc: store.index: compact 36251067
Nov 05 06:22:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:22:47.990587 I | mvcc: finished scheduled compaction at 36251067 (took 4.958163ms)
Nov 05 06:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:22:59.568734 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (433.323472ms) to execute
Nov 05 06:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:22:59.569117 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mlk49\" " with result "range_response_count:1 size:1853" took too long (242.760208ms) to execute
Nov 05 06:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:22:59.569522 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (162.953239ms) to execute
Nov 05 06:23:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:23:23.322535 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (107.547567ms) to execute
Nov 05 06:23:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:23:30.336918 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mlk49\" " with result "range_response_count:1 size:1853" took too long (1.052801671s) to execute
Nov 05 06:23:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:23:30.337564 W | etcdserver: request "header:<ID:14919139277660682132 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:36251951 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (669.258851ms) to execute
Nov 05 06:23:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 06:23:30.338023 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (619.98468ms) to execute
