-- Logs begin at Sun 2019-11-03 00:17:30 UTC, end at Wed 2019-11-06 10:11:55 UTC. --
Nov 06 09:53:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:53:01.585413 I | mvcc: store.index: compact 36523237
Nov 06 09:53:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:53:01.594459 I | mvcc: finished scheduled compaction at 36523237 (took 6.049049ms)
Nov 06 09:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:56:46.240084 W | wal: sync duration of 1.501540393s, expected less than 1s
Nov 06 09:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:56:46.245671 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (1.840395431s) to execute
Nov 06 09:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:56:46.245893 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.647471318s) to execute
Nov 06 09:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:56:46.246326 W | etcdserver: request "header:<ID:14919139277661741860 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:36525174 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (1.507502557s) to execute
Nov 06 09:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:56:46.247203 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (863.62111ms) to execute
Nov 06 09:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:56:46.253593 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (259.725134ms) to execute
Nov 06 09:58:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:58:01.600363 I | mvcc: store.index: compact 36524679
Nov 06 09:58:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:58:01.610813 I | mvcc: finished scheduled compaction at 36524679 (took 8.299373ms)
Nov 06 09:59:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 09:59:53.994698 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (111.117499ms) to execute
Nov 06 10:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:01:24.741654 W | etcdserver: request "header:<ID:14919139277661744396 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:36525896 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (119.993641ms) to execute
Nov 06 10:03:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:03:01.628454 I | mvcc: store.index: compact 36525417
Nov 06 10:03:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:03:01.634419 I | mvcc: finished scheduled compaction at 36525417 (took 4.814494ms)
Nov 06 10:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:04:24.788745 W | etcdserver: request "header:<ID:14919139277661745930 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:36526308 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6412 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (201.641447ms) to execute
Nov 06 10:07:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:07:21.333063 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (189.384836ms) to execute
Nov 06 10:07:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:07:27.736987 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (105.500025ms) to execute
Nov 06 10:08:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:08:01.666660 I | mvcc: store.index: compact 36526141
Nov 06 10:08:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:08:01.674661 I | mvcc: finished scheduled compaction at 36526141 (took 6.8402ms)
