-- Logs begin at Fri 2019-11-01 16:26:07 UTC, end at Mon 2019-11-04 10:48:28 UTC. --
Nov 04 10:27:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:27:34.340796 I | mvcc: store.index: compact 36065635
Nov 04 10:27:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:27:34.345626 I | mvcc: finished scheduled compaction at 36065635 (took 3.88399ms)
Nov 04 10:32:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:32:34.360795 I | mvcc: store.index: compact 36066419
Nov 04 10:32:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:32:34.365758 I | mvcc: finished scheduled compaction at 36066419 (took 3.997288ms)
Nov 04 10:33:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:33:27.757102 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (351.923406ms) to execute
Nov 04 10:33:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:33:27.757238 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (209.718478ms) to execute
Nov 04 10:33:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:33:27.757870 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (315.642817ms) to execute
Nov 04 10:33:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:33:31.896260 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (119.902928ms) to execute
Nov 04 10:33:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:33:42.090488 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (126.251977ms) to execute
Nov 04 10:37:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:37:24.812214 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:4 size:7164" took too long (358.062622ms) to execute
Nov 04 10:37:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:37:24.812484 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (267.142547ms) to execute
Nov 04 10:37:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:37:34.375889 I | mvcc: store.index: compact 36067132
Nov 04 10:37:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:37:34.381596 I | mvcc: finished scheduled compaction at 36067132 (took 4.737024ms)
Nov 04 10:42:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:42:34.390917 I | mvcc: store.index: compact 36067916
Nov 04 10:42:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:42:34.396399 I | mvcc: finished scheduled compaction at 36067916 (took 4.239434ms)
Nov 04 10:43:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:43:36.085876 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mrhsj\" " with result "range_response_count:1 size:1731" took too long (571.021538ms) to execute
Nov 04 10:43:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:43:36.086234 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (202.729656ms) to execute
Nov 04 10:43:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:43:36.086291 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (423.778081ms) to execute
Nov 04 10:44:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:44:00.027982 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (168.51823ms) to execute
Nov 04 10:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:46:16.749977 N | compactor: Starting auto-compaction at revision 36000570
Nov 04 10:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 10:46:16.750495 N | compactor: Finished auto-compaction at revision 36000570
