-- Logs begin at Wed 2019-11-06 07:52:18 UTC, end at Sat 2019-11-09 05:52:50 UTC. --
Nov 09 05:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:34:12.756329 I | mvcc: store.index: compact 37199875
Nov 09 05:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:34:12.763715 I | mvcc: finished scheduled compaction at 37199875 (took 4.650502ms)
Nov 09 05:39:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:39:12.818597 I | mvcc: store.index: compact 37200575
Nov 09 05:39:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:39:12.826454 I | mvcc: finished scheduled compaction at 37200575 (took 6.641723ms)
Nov 09 05:41:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:41:20.270792 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (105.089793ms) to execute
Nov 09 05:41:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:41:20.302430 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ds8tt\" " with result "range_response_count:1 size:1118" took too long (116.960309ms) to execute
Nov 09 05:44:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:44:12.831336 I | mvcc: store.index: compact 37201360
Nov 09 05:44:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:44:12.837133 I | mvcc: finished scheduled compaction at 37201360 (took 4.702245ms)
Nov 09 05:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:46:05.591113 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (154.725719ms) to execute
Nov 09 05:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:48:36.894579 N | compactor: Starting auto-compaction at revision 37121618
Nov 09 05:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:48:36.895066 N | compactor: Finished auto-compaction at revision 37121618
Nov 09 05:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:49:13.934021 W | wal: sync duration of 1.094961978s, expected less than 1s
Nov 09 05:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:49:13.937966 W | etcdserver: request "header:<ID:14919139277664435836 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<key:\"compact_rev_key\" version:58849 > success:<request_put:<key:\"compact_rev_key\" value_size:8 >> failure:<request_range:<key:\"compact_rev_key\" > >>" with result "size:20" took too long (1.098483915s) to execute
Nov 09 05:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:49:13.938103 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (1.082578688s) to execute
Nov 09 05:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:49:13.938344 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (655.435819ms) to execute
Nov 09 05:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:49:13.938577 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (415.261119ms) to execute
Nov 09 05:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:49:13.938792 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (164.639511ms) to execute
Nov 09 05:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:49:13.938848 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (558.105751ms) to execute
Nov 09 05:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:49:13.949288 I | mvcc: store.index: compact 37202229
Nov 09 05:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:49:13.957456 I | mvcc: finished scheduled compaction at 37202229 (took 7.218323ms)
Nov 09 05:50:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:50:39.965893 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (139.968376ms) to execute
Nov 09 05:50:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:50:39.965989 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (219.695175ms) to execute
