-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 02:54:04 UTC. --
Nov 05 02:32:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:32:46.289534 I | mvcc: store.index: compact 36213497
Nov 05 02:32:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:32:46.312404 I | mvcc: finished scheduled compaction at 36213497 (took 21.190205ms)
Nov 05 02:32:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:32:46.459483 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (142.153372ms) to execute
Nov 05 02:37:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:32.274489 W | etcdserver: request "header:<ID:14919139277660547510 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:36214863 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (158.929922ms) to execute
Nov 05 02:37:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:38.469691 W | etcdserver: request "header:<ID:14919139277660547554 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:36214900 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (398.511266ms) to execute
Nov 05 02:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:44.289130 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (248.9685ms) to execute
Nov 05 02:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:44.290116 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (350.144264ms) to execute
Nov 05 02:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:44.290339 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (206.920241ms) to execute
Nov 05 02:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:44.290423 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (368.49835ms) to execute
Nov 05 02:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:46.304000 I | mvcc: store.index: compact 36214206
Nov 05 02:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:46.313087 I | mvcc: finished scheduled compaction at 36214206 (took 7.832616ms)
Nov 05 02:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:47.664309 W | wal: sync duration of 1.35408288s, expected less than 1s
Nov 05 02:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:47.790395 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qx4cz\" " with result "range_response_count:1 size:1855" took too long (233.495351ms) to execute
Nov 05 02:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:37:47.790857 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (1.125894876s) to execute
