-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 17:04:42 UTC. --
Nov 09 16:44:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:44:21.164264 I | mvcc: store.index: compact 37308367
Nov 09 16:44:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:44:21.171110 I | mvcc: finished scheduled compaction at 37308367 (took 5.265092ms)
Nov 09 16:44:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:44:51.925434 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (461.691176ms) to execute
Nov 09 16:44:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:44:51.925576 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (352.205288ms) to execute
Nov 09 16:46:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:46:38.722984 I | etcdserver: start to snapshot (applied: 41155063, lastsnap: 41145062)
Nov 09 16:46:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:46:38.858367 I | etcdserver: saved snapshot at index 41155063
Nov 09 16:46:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:46:38.858721 I | etcdserver: compacted raft log at 41150063
Nov 09 16:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:46:44.690091 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000027336a2.snap successfully
Nov 09 16:47:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:47:19.569728 W | etcdserver: request "header:<ID:14919139277664871964 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-gsnrl\" mod_revision:37310333 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-gsnrl\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-gsnrl\" > >>" with result "size:20" took too long (101.122063ms) to execute
Nov 09 16:47:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:47:19.584795 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cn5qn\" " with result "range_response_count:1 size:1121" took too long (116.194824ms) to execute
Nov 09 16:47:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:47:53.141116 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (100.183154ms) to execute
Nov 09 16:48:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:48:23.154931 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (216.966173ms) to execute
Nov 09 16:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:48:37.048109 N | compactor: Starting auto-compaction at revision 37232436
Nov 09 16:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:48:37.048662 N | compactor: Finished auto-compaction at revision 37232436
Nov 09 16:49:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:49:21.243880 I | mvcc: store.index: compact 37309897
Nov 09 16:49:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:49:21.256467 I | mvcc: finished scheduled compaction at 37309897 (took 9.411857ms)
Nov 09 16:49:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:49:21.736057 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (174.954187ms) to execute
Nov 09 16:49:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:49:21.736551 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (314.441956ms) to execute
Nov 09 16:49:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:49:56.153581 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (202.185703ms) to execute
Nov 09 16:52:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 16:52:20.015081 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (144.531194ms) to execute
