-- Logs begin at Thu 2019-11-07 09:31:01 UTC, end at Sun 2019-11-10 05:05:07 UTC. --
Nov 10 04:44:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:44:26.317137 I | mvcc: store.index: compact 37428573
Nov 10 04:44:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:44:26.324251 I | mvcc: finished scheduled compaction at 37428573 (took 4.974441ms)
Nov 10 04:44:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:44:30.030331 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (149.571795ms) to execute
Nov 10 04:45:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:11.947352 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (227.51322ms) to execute
Nov 10 04:45:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:11.947537 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (400.046072ms) to execute
Nov 10 04:45:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:24.456744 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (181.658096ms) to execute
Nov 10 04:45:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:25.687431 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (212.289489ms) to execute
Nov 10 04:45:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:25.687666 W | etcdserver: request "header:<ID:14919139277665343805 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:37430166 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5604 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (159.173704ms) to execute
Nov 10 04:45:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:27.179391 W | etcdserver: request "header:<ID:14919139277665343826 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-xc4rf.15d5b39ab21dacb0\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-xc4rf.15d5b39ab21dacb0\" value_size:465 lease:5695767240810567811 >> failure:<>>" with result "size:20" took too long (195.631324ms) to execute
Nov 10 04:45:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:39.061120 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (267.557071ms) to execute
Nov 10 04:45:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:39.061252 W | etcdserver: request "header:<ID:14919139277665343954 > lease_revoke:<id:4f0b6e20c7d21923>" with result "size:29" took too long (240.110643ms) to execute
Nov 10 04:45:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:44.078064 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (534.97746ms) to execute
Nov 10 04:45:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:44.078265 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1910" took too long (483.722176ms) to execute
Nov 10 04:45:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:49.413543 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (365.1539ms) to execute
Nov 10 04:45:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:45:52.843625 W | etcdserver: request "header:<ID:14919139277665344054 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:37430252 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (184.780268ms) to execute
Nov 10 04:46:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:46:00.343932 W | etcdserver: request "header:<ID:14919139277665344162 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:37430268 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4519 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (128.490327ms) to execute
Nov 10 04:46:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:46:00.678863 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-lk2vd.15d5b39464a58ee8\" " with result "range_response_count:1 size:564" took too long (183.715846ms) to execute
Nov 10 04:46:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:46:10.704318 W | etcdserver: request "header:<ID:14919139277665344269 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:37430302 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4519 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (340.66424ms) to execute
Nov 10 04:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:46:18.597108 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (281.184785ms) to execute
Nov 10 04:46:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:46:31.580321 W | etcdserver: request "header:<ID:14919139277665344449 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:37430361 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4519 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (764.009145ms) to execute
Nov 10 04:46:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:46:31.580456 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (716.920222ms) to execute
Nov 10 04:46:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:46:42.187881 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (121.126284ms) to execute
Nov 10 04:46:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:46:46.654988 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (157.041719ms) to execute
Nov 10 04:47:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:47:16.064092 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (139.491009ms) to execute
Nov 10 04:47:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:47:19.060385 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (362.647995ms) to execute
Nov 10 04:47:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:47:21.398504 W | etcdserver: request "header:<ID:14919139277665344888 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:37430484 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (541.782554ms) to execute
Nov 10 04:47:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:47:30.875462 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (135.674124ms) to execute
Nov 10 04:47:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 04:47:53.213355 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hgf4l\" " with result "range_response_count:1 size:1855" took too long (153.917381ms) to execute
