-- Logs begin at Mon 2019-11-04 06:45:01 UTC, end at Thu 2019-11-07 13:29:43 UTC. --
Nov 07 13:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:08:48.485357 I | mvcc: store.index: compact 36788873
Nov 07 13:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:08:48.488961 W | etcdserver: request "header:<ID:14919139277662807443 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:36788873 > " with result "size:7" took too long (118.051366ms) to execute
Nov 07 13:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:08:48.495532 I | mvcc: finished scheduled compaction at 36788873 (took 6.547093ms)
Nov 07 13:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:08:48.754201 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (152.150006ms) to execute
Nov 07 13:13:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:13:48.502302 I | mvcc: store.index: compact 36790385
Nov 07 13:13:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:13:48.516362 I | mvcc: finished scheduled compaction at 36790385 (took 12.4831ms)
Nov 07 13:14:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:14:07.949495 I | etcdserver: start to snapshot (applied: 40595004, lastsnap: 40585003)
Nov 07 13:14:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:14:08.014399 I | etcdserver: saved snapshot at index 40595004
Nov 07 13:14:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:14:08.015443 I | etcdserver: compacted raft log at 40590004
Nov 07 13:14:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:14:11.306914 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000026aaae5.snap successfully
Nov 07 13:17:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:17:25.043880 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (134.455733ms) to execute
Nov 07 13:17:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:17:25.044033 W | etcdserver: request "header:<ID:14919139277662812130 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36791732 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (133.840429ms) to execute
Nov 07 13:18:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:18:48.615740 I | mvcc: store.index: compact 36791191
Nov 07 13:18:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:18:48.616799 W | etcdserver: request "header:<ID:14919139277662812995 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:36791191 > " with result "size:7" took too long (102.706937ms) to execute
Nov 07 13:18:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:18:48.621064 I | mvcc: finished scheduled compaction at 36791191 (took 4.154024ms)
Nov 07 13:23:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 13:23:48.634933 I | mvcc: store.index: compact 36792035
