-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Mon 2019-11-04 23:36:18 UTC. --
Nov 04 23:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:17:44.547443 I | mvcc: store.index: compact 36183225
Nov 04 23:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:17:44.557947 I | mvcc: finished scheduled compaction at 36183225 (took 9.115558ms)
Nov 04 23:18:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:18:56.306842 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (113.141299ms) to execute
Nov 04 23:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:22:42.567396 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (123.031205ms) to execute
Nov 04 23:22:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:22:44.562592 I | mvcc: store.index: compact 36183939
Nov 04 23:22:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:22:44.569147 I | mvcc: finished scheduled compaction at 36183939 (took 5.054194ms)
Nov 04 23:23:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:23:26.600314 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (179.301422ms) to execute
Nov 04 23:23:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:23:26.600483 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (245.266718ms) to execute
Nov 04 23:24:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:24:19.797980 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (234.645708ms) to execute
Nov 04 23:24:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:24:19.798101 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (231.233356ms) to execute
Nov 04 23:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:25:37.110482 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-74gtm\" " with result "range_response_count:1 size:1852" took too long (191.235605ms) to execute
Nov 04 23:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:25:37.110994 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (254.397729ms) to execute
Nov 04 23:27:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:27:11.670912 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (134.99151ms) to execute
Nov 04 23:27:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:27:11.671038 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (134.237395ms) to execute
Nov 04 23:27:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:27:11.671228 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1911" took too long (120.325368ms) to execute
Nov 04 23:27:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:27:26.271798 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (131.31139ms) to execute
Nov 04 23:27:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:27:44.586460 I | mvcc: store.index: compact 36184765
Nov 04 23:27:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:27:44.596959 I | mvcc: finished scheduled compaction at 36184765 (took 9.438428ms)
Nov 04 23:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:28:12.141091 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (105.087627ms) to execute
Nov 04 23:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:28:12.141655 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (170.053841ms) to execute
Nov 04 23:28:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:28:18.061092 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (120.570953ms) to execute
Nov 04 23:28:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:28:18.061254 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (120.079369ms) to execute
Nov 04 23:28:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:28:27.206560 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (188.47329ms) to execute
Nov 04 23:28:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:28:30.885084 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (103.468674ms) to execute
Nov 04 23:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:29:07.459064 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (268.507417ms) to execute
Nov 04 23:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:29:07.464203 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (273.455852ms) to execute
Nov 04 23:29:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:29:19.173741 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (155.069753ms) to execute
Nov 04 23:29:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:29:19.173883 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (126.620088ms) to execute
Nov 04 23:30:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:30:13.495627 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (116.062398ms) to execute
Nov 04 23:31:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:23.516397 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (136.977836ms) to execute
Nov 04 23:31:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:50.671420 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1911" took too long (451.765019ms) to execute
Nov 04 23:31:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:52.316088 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (263.993335ms) to execute
Nov 04 23:31:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:52.316536 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (263.632585ms) to execute
Nov 04 23:31:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:53.075226 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (109.254986ms) to execute
Nov 04 23:31:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:54.618375 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (201.92077ms) to execute
Nov 04 23:31:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:54.621991 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (119.628621ms) to execute
Nov 04 23:31:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:57.724266 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (614.391919ms) to execute
Nov 04 23:31:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:57.724731 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (282.876238ms) to execute
Nov 04 23:31:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:57.725139 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (168.010838ms) to execute
Nov 04 23:31:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:57.725340 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (179.518954ms) to execute
Nov 04 23:31:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:31:59.624218 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (342.556793ms) to execute
Nov 04 23:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:32:44.598923 I | mvcc: store.index: compact 36185600
Nov 04 23:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:32:44.606940 I | mvcc: finished scheduled compaction at 36185600 (took 6.242498ms)
