-- Logs begin at Sat 2019-11-02 08:56:48 UTC, end at Tue 2019-11-05 13:37:17 UTC. --
Nov 05 13:17:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:17:51.241807 I | mvcc: store.index: compact 36315624
Nov 05 13:17:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:17:51.248157 I | mvcc: finished scheduled compaction at 36315624 (took 5.16691ms)
Nov 05 13:17:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:17:55.388366 I | wal: segmented wal file /var/lib/etcd/member/wal/000000000000051a-00000000026398e7.wal is created
Nov 05 13:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:18:05.819033 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (352.235764ms) to execute
Nov 05 13:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:18:09.831448 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000515-00000000026109e6.wal successfully
Nov 05 13:19:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:19:46.551100 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (108.662597ms) to execute
Nov 05 13:19:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:19:46.551181 W | etcdserver: read-only range request "key:\"/registry/masterleases/\" range_end:\"/registry/masterleases0\" " with result "range_response_count:1 size:133" took too long (142.386704ms) to execute
Nov 05 13:19:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:19:46.551466 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (154.395188ms) to execute
Nov 05 13:20:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:20:29.648611 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (337.886781ms) to execute
Nov 05 13:20:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:20:36.442398 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (528.925344ms) to execute
Nov 05 13:20:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:20:36.447799 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (117.493344ms) to execute
Nov 05 13:20:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:20:36.448165 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (193.863828ms) to execute
Nov 05 13:20:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:20:36.448673 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:31144" took too long (419.111889ms) to execute
Nov 05 13:22:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:22:51.277541 I | mvcc: store.index: compact 36316337
Nov 05 13:22:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:22:51.282592 I | mvcc: finished scheduled compaction at 36316337 (took 3.929491ms)
Nov 05 13:24:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:24:46.992118 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (160.039683ms) to execute
Nov 05 13:24:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:24:46.992202 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (160.192682ms) to execute
Nov 05 13:24:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:24:46.992266 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4g477\" " with result "range_response_count:1 size:1118" took too long (154.378611ms) to execute
Nov 05 13:24:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:24:46.992427 W | etcdserver: request "header:<ID:14919139277660923040 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-5t5wq.15d4470c0620a722\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-5t5wq.15d4470c0620a722\" value_size:392 lease:5695767240806147101 >> failure:<>>" with result "size:20" took too long (125.448148ms) to execute
Nov 05 13:24:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:24:46.992494 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5t5wq\" " with result "range_response_count:1 size:1121" took too long (153.785379ms) to execute
Nov 05 13:24:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:24:46.993140 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:1 size:1295" took too long (140.255983ms) to execute
Nov 05 13:24:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:24:46.993540 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4m2fh\" " with result "range_response_count:1 size:1121" took too long (131.65826ms) to execute
Nov 05 13:24:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:24:46.993944 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (141.00556ms) to execute
Nov 05 13:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:25:23.701753 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (191.940263ms) to execute
Nov 05 13:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:25:23.702092 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (322.023149ms) to execute
Nov 05 13:27:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:27:51.330568 I | mvcc: store.index: compact 36317153
Nov 05 13:27:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:27:51.337611 I | mvcc: finished scheduled compaction at 36317153 (took 5.531408ms)
Nov 05 13:32:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:32:51.347022 I | mvcc: store.index: compact 36318083
Nov 05 13:32:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:32:51.355065 I | mvcc: finished scheduled compaction at 36318083 (took 5.941869ms)
Nov 05 13:32:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 13:32:51.598032 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (151.313017ms) to execute
