-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 09:23:26 UTC. --
Nov 07 09:03:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:03:31.879706 I | mvcc: store.index: compact 36750582
Nov 07 09:03:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:03:31.884774 I | mvcc: finished scheduled compaction at 36750582 (took 3.914813ms)
Nov 07 09:08:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:04.081779 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (154.054388ms) to execute
Nov 07 09:08:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:04.081849 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (157.389841ms) to execute
Nov 07 09:08:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:04.081871 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (158.289927ms) to execute
Nov 07 09:08:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:04.082064 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (158.224404ms) to execute
Nov 07 09:08:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:04.082255 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9wgp6\" " with result "range_response_count:1 size:1121" took too long (142.860193ms) to execute
Nov 07 09:08:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:04.082453 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (154.187459ms) to execute
Nov 07 09:08:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:04.109211 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h9kfl\" " with result "range_response_count:1 size:1121" took too long (161.742062ms) to execute
Nov 07 09:08:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:04.109539 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (116.598707ms) to execute
Nov 07 09:08:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:31.968165 I | mvcc: store.index: compact 36751323
Nov 07 09:08:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:08:31.973486 I | mvcc: finished scheduled compaction at 36751323 (took 4.08392ms)
Nov 07 09:13:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:13:31.983746 I | mvcc: store.index: compact 36752047
Nov 07 09:13:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:13:31.988716 I | mvcc: finished scheduled compaction at 36752047 (took 4.073242ms)
Nov 07 09:15:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:15:17.889990 W | wal: sync duration of 1.030344759s, expected less than 1s
Nov 07 09:15:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:15:17.895260 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (624.242283ms) to execute
Nov 07 09:15:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:15:20.929221 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (137.744449ms) to execute
Nov 07 09:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:15:22.116516 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (239.515082ms) to execute
Nov 07 09:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:15:22.120020 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (174.409111ms) to execute
Nov 07 09:15:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:15:28.337577 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (191.161969ms) to execute
Nov 07 09:15:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:15:51.527761 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2101" took too long (185.550778ms) to execute
Nov 07 09:15:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:15:51.527807 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (236.169778ms) to execute
Nov 07 09:15:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:15:51.528058 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:256" took too long (184.652037ms) to execute
Nov 07 09:16:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:09.191562 W | wal: sync duration of 1.148747115s, expected less than 1s
Nov 07 09:16:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:09.194367 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (257.768936ms) to execute
Nov 07 09:16:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:09.194433 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (976.823397ms) to execute
Nov 07 09:16:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:09.194471 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (665.741001ms) to execute
Nov 07 09:16:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:15.505224 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (278.313706ms) to execute
Nov 07 09:16:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:38.576522 W | wal: sync duration of 1.406587168s, expected less than 1s
Nov 07 09:16:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:38.580157 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.246928959s) to execute
Nov 07 09:16:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:38.590477 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (457.467962ms) to execute
Nov 07 09:16:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:38.590780 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (948.807249ms) to execute
Nov 07 09:16:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:46.628178 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (222.719268ms) to execute
Nov 07 09:16:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:55.026591 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (340.145254ms) to execute
Nov 07 09:16:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:59.078367 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (389.407936ms) to execute
Nov 07 09:16:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:59.078934 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (240.691527ms) to execute
Nov 07 09:16:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:16:59.080119 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (208.979212ms) to execute
Nov 07 09:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:17:36.254640 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (652.671897ms) to execute
Nov 07 09:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:17:36.277854 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (139.493263ms) to execute
Nov 07 09:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:17:36.278102 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (267.36129ms) to execute
Nov 07 09:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:17:49.436889 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (113.556719ms) to execute
Nov 07 09:17:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:17:51.230411 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (845.301488ms) to execute
Nov 07 09:17:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 09:17:51.445868 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (114.944922ms) to execute
