-- Logs begin at Mon 2019-11-04 19:08:25 UTC, end at Thu 2019-11-07 19:43:47 UTC. --
Nov 07 19:23:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:23:52.331206 I | mvcc: store.index: compact 36852835
Nov 07 19:23:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:23:52.337772 I | mvcc: finished scheduled compaction at 36852835 (took 5.445097ms)
Nov 07 19:24:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:24:01.392208 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-fn99h.15d4f7bbce4ce46a\" " with result "range_response_count:1 size:588" took too long (130.692357ms) to execute
Nov 07 19:28:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:28:52.344820 I | mvcc: store.index: compact 36853518
Nov 07 19:28:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:28:52.351510 I | mvcc: finished scheduled compaction at 36853518 (took 5.584968ms)
Nov 07 19:30:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:30:30.145122 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (107.079095ms) to execute
Nov 07 19:30:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:30:30.145839 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (107.865667ms) to execute
Nov 07 19:33:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:33:52.422449 I | mvcc: store.index: compact 36854317
Nov 07 19:33:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:33:52.428989 I | mvcc: finished scheduled compaction at 36854317 (took 5.131237ms)
Nov 07 19:35:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:35:19.025032 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b6jm5\" " with result "range_response_count:1 size:1121" took too long (158.069492ms) to execute
Nov 07 19:35:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:35:19.025336 W | etcdserver: request "header:<ID:14919139277663057339 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36855240 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (133.498645ms) to execute
Nov 07 19:35:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:35:19.025437 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (165.649196ms) to execute
Nov 07 19:35:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:35:19.031746 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gk4qb\" " with result "range_response_count:1 size:1118" took too long (140.869123ms) to execute
Nov 07 19:38:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:38:33.571803 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.389258352s) to execute
