-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 11:16:30 UTC. --
Nov 09 10:59:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:59:18.315550 I | mvcc: store.index: compact 37253720
Nov 09 10:59:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:59:18.324585 I | mvcc: finished scheduled compaction at 37253720 (took 7.599117ms)
Nov 09 11:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:00:57.412647 I | etcdserver: start to snapshot (applied: 41095057, lastsnap: 41085056)
Nov 09 11:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:00:57.507492 I | etcdserver: saved snapshot at index 41095057
Nov 09 11:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:00:57.508153 I | etcdserver: compacted raft log at 41090057
Nov 09 11:01:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:01:14.257477 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002724c3c.snap successfully
Nov 09 11:04:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:04:18.352831 I | mvcc: store.index: compact 37254392
Nov 09 11:04:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:04:18.361210 I | mvcc: finished scheduled compaction at 37254392 (took 6.429832ms)
Nov 09 11:05:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:05:21.352422 W | etcdserver: request "header:<ID:14919139277664644077 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-jztl5\" mod_revision:37255407 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-jztl5\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-jztl5\" > >>" with result "size:20" took too long (139.613709ms) to execute
Nov 09 11:05:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:05:21.366885 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jw2vx\" " with result "range_response_count:1 size:1121" took too long (136.440653ms) to execute
Nov 09 11:09:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:09:18.468908 I | mvcc: store.index: compact 37255229
Nov 09 11:09:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:09:18.470000 W | etcdserver: request "header:<ID:14919139277664646384 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:37255229 > " with result "size:7" took too long (100.319836ms) to execute
Nov 09 11:09:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:09:18.476463 I | mvcc: finished scheduled compaction at 37255229 (took 6.415063ms)
Nov 09 11:09:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:09:18.634165 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (104.923153ms) to execute
Nov 09 11:10:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:10:02.406388 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (131.133829ms) to execute
Nov 09 11:10:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:10:02.406580 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (259.076365ms) to execute
Nov 09 11:10:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:10:04.494604 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (133.858271ms) to execute
Nov 09 11:11:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:11:29.765013 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (446.02226ms) to execute
Nov 09 11:11:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:11:30.415604 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (234.513457ms) to execute
Nov 09 11:11:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:11:31.978045 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (232.044301ms) to execute
Nov 09 11:14:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:14:18.481485 I | mvcc: store.index: compact 37256136
Nov 09 11:14:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 11:14:18.489029 I | mvcc: finished scheduled compaction at 37256136 (took 6.314626ms)
