-- Logs begin at Thu 2019-11-07 09:31:01 UTC, end at Sun 2019-11-10 09:39:02 UTC. --
Nov 10 09:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:18:07.645557 I | etcdserver: start to snapshot (applied: 41335082, lastsnap: 41325081)
Nov 10 09:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:18:07.717112 I | etcdserver: saved snapshot at index 41335082
Nov 10 09:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:18:07.718453 I | etcdserver: compacted raft log at 41330082
Nov 10 09:18:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:18:15.685234 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000275f5d5.snap successfully
Nov 10 09:19:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:19:07.302317 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-b9tdt.15d5c27a8c53b680\" " with result "range_response_count:1 size:591" took too long (191.477058ms) to execute
Nov 10 09:19:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:19:28.208745 I | mvcc: store.index: compact 37476476
Nov 10 09:19:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:19:28.215777 I | mvcc: finished scheduled compaction at 37476476 (took 5.202097ms)
Nov 10 09:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:19:53.116915 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (362.785929ms) to execute
Nov 10 09:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:24:28.224049 I | mvcc: store.index: compact 37477259
Nov 10 09:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:24:28.232288 I | mvcc: finished scheduled compaction at 37477259 (took 6.388992ms)
Nov 10 09:26:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:26:35.680412 W | etcdserver: request "header:<ID:14919139277665529873 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-7xrsj\" mod_revision:37478385 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-7xrsj\" value_size:1042 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-7xrsj\" > >>" with result "size:20" took too long (125.017238ms) to execute
Nov 10 09:26:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:26:35.683089 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (138.367547ms) to execute
Nov 10 09:26:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:26:35.683574 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (138.25652ms) to execute
Nov 10 09:26:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:26:35.695766 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b62pm\" " with result "range_response_count:1 size:1121" took too long (141.95509ms) to execute
Nov 10 09:29:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:29:28.246124 I | mvcc: store.index: compact 37478069
Nov 10 09:29:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:29:28.251435 I | mvcc: finished scheduled compaction at 37478069 (took 4.166726ms)
Nov 10 09:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:31:36.169476 W | etcdserver: request "header:<ID:14919139277665532696 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37479238 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:987 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (122.047071ms) to execute
Nov 10 09:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:31:36.169872 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8whpx\" " with result "range_response_count:1 size:1121" took too long (126.974865ms) to execute
Nov 10 09:34:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:34:28.257614 I | mvcc: store.index: compact 37478930
Nov 10 09:34:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:34:28.265278 I | mvcc: finished scheduled compaction at 37478930 (took 6.599159ms)
Nov 10 09:34:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 09:34:28.477645 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (105.218229ms) to execute
