-- Logs begin at Fri 2019-11-01 16:26:07 UTC, end at Mon 2019-11-04 18:19:29 UTC. --
Nov 04 17:57:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 17:57:41.416625 I | mvcc: store.index: compact 36135815
Nov 04 17:57:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 17:57:41.423045 I | mvcc: finished scheduled compaction at 36135815 (took 5.064192ms)
Nov 04 18:00:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:00:31.710628 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-njwvd\" " with result "range_response_count:1 size:1121" took too long (154.560038ms) to execute
Nov 04 18:00:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:00:31.710828 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (154.131682ms) to execute
Nov 04 18:00:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:00:31.711037 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (162.726622ms) to execute
Nov 04 18:00:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:00:31.711654 W | etcdserver: request "header:<ID:14919139277660262815 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d4078393ff994d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d4078393ff994d\" value_size:386 lease:5695767240805486974 >> failure:<>>" with result "size:20" took too long (129.490053ms) to execute
Nov 04 18:01:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:01:31.710590 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4078393ff994d\" " with result "range_response_count:1 size:485" took too long (164.181821ms) to execute
Nov 04 18:01:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:01:31.714984 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f8hn5\" " with result "range_response_count:1 size:1121" took too long (167.840587ms) to execute
Nov 04 18:01:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:01:31.715045 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zpsz5\" " with result "range_response_count:1 size:1121" took too long (156.653497ms) to execute
Nov 04 18:01:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:01:31.715127 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-j977d\" " with result "range_response_count:1 size:1121" took too long (150.274695ms) to execute
Nov 04 18:01:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:01:31.715254 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9g2nr\" " with result "range_response_count:1 size:1121" took too long (131.201313ms) to execute
Nov 04 18:01:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:01:31.715563 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z8jqf\" " with result "range_response_count:1 size:1118" took too long (147.499221ms) to execute
Nov 04 18:01:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:01:31.941706 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (136.963009ms) to execute
Nov 04 18:02:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:02:41.523009 I | mvcc: store.index: compact 36136532
Nov 04 18:02:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:02:41.526668 W | etcdserver: request "header:<ID:14919139277660264022 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:36136532 > " with result "size:7" took too long (102.644964ms) to execute
Nov 04 18:02:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:02:41.531503 I | mvcc: finished scheduled compaction at 36136532 (took 4.885531ms)
Nov 04 18:07:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:07:17.272153 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (141.045783ms) to execute
Nov 04 18:07:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:07:41.538765 I | mvcc: store.index: compact 36137314
Nov 04 18:07:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:07:41.543716 I | mvcc: finished scheduled compaction at 36137314 (took 4.002379ms)
Nov 04 18:08:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:08:32.356663 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sbfvw\" " with result "range_response_count:1 size:1121" took too long (159.020852ms) to execute
Nov 04 18:08:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 18:08:32.356990 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4078393ff994d\" " with result "range_response_count:1 size:485" took too long (158.880696ms) to execute
