-- Logs begin at Sat 2019-11-02 08:56:48 UTC, end at Tue 2019-11-05 12:48:29 UTC. --
Nov 05 12:27:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:27:50.467103 I | mvcc: store.index: compact 36308374
Nov 05 12:27:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:27:50.471558 I | mvcc: finished scheduled compaction at 36308374 (took 3.455705ms)
Nov 05 12:29:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:29:33.040953 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jbv22\" " with result "range_response_count:1 size:1121" took too long (141.855662ms) to execute
Nov 05 12:29:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:29:33.041465 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6kzbs\" " with result "range_response_count:1 size:1121" took too long (140.572005ms) to execute
Nov 05 12:29:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:29:33.041542 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dr26f\" " with result "range_response_count:1 size:1121" took too long (140.269574ms) to execute
Nov 05 12:29:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:29:33.041616 W | etcdserver: request "header:<ID:14919139277660893265 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-xr2bx.15d4440870803274\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-xr2bx.15d4440870803274\" value_size:389 lease:5695767240806117425 >> failure:<>>" with result "size:20" took too long (133.864483ms) to execute
Nov 05 12:29:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:29:33.041742 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xr2bx\" " with result "range_response_count:1 size:1118" took too long (130.348142ms) to execute
Nov 05 12:29:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:29:35.969276 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (168.148119ms) to execute
Nov 05 12:30:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:30:33.074706 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zkc9q\" " with result "range_response_count:1 size:1121" took too long (103.42566ms) to execute
Nov 05 12:30:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:30:33.317584 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (157.80269ms) to execute
Nov 05 12:30:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:30:33.347553 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-n82r2\" " with result "range_response_count:1 size:1121" took too long (185.614108ms) to execute
Nov 05 12:30:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:30:33.347936 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d444086fe21d85\" " with result "range_response_count:1 size:485" took too long (188.052485ms) to execute
Nov 05 12:30:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:30:33.526854 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (125.057891ms) to execute
Nov 05 12:30:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:30:35.652664 W | etcdserver: request "header:<ID:14919139277660893927 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:36309604 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:2594 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (131.421ms) to execute
Nov 05 12:31:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:31:33.178227 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cnthj\" " with result "range_response_count:1 size:1121" took too long (105.130197ms) to execute
Nov 05 12:32:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:32:50.483124 I | mvcc: store.index: compact 36309099
Nov 05 12:32:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:32:50.488563 I | mvcc: finished scheduled compaction at 36309099 (took 4.168508ms)
Nov 05 12:35:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:35:35.646340 I | etcdserver: start to snapshot (applied: 40074946, lastsnap: 40064945)
Nov 05 12:35:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:35:35.737951 I | etcdserver: saved snapshot at index 40074946
Nov 05 12:35:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:35:35.738475 I | etcdserver: compacted raft log at 40069946
Nov 05 12:35:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:35:39.195443 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000262bb6d.snap successfully
Nov 05 12:37:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:37:50.549918 I | mvcc: store.index: compact 36309917
Nov 05 12:37:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:37:50.567393 I | mvcc: finished scheduled compaction at 36309917 (took 15.120519ms)
Nov 05 12:38:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:38:00.459307 W | wal: sync duration of 1.996053025s, expected less than 1s
Nov 05 12:38:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:38:00.469123 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (1.958429075s) to execute
Nov 05 12:38:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:38:00.472969 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (230.191377ms) to execute
Nov 05 12:38:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:38:00.473233 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (863.742764ms) to execute
Nov 05 12:38:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:38:00.473451 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.067603375s) to execute
Nov 05 12:41:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:41:11.010299 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (111.78076ms) to execute
Nov 05 12:41:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:41:11.010702 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (113.767991ms) to execute
Nov 05 12:42:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:42:50.597423 I | mvcc: store.index: compact 36310435
