-- Logs begin at Fri 2019-11-08 22:50:13 UTC, end at Mon 2019-11-11 01:41:59 UTC. --
Nov 11 01:20:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:20:22.160201 I | mvcc: store.index: compact 37635448
Nov 11 01:20:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:20:22.166465 I | mvcc: finished scheduled compaction at 37635448 (took 4.838584ms)
Nov 11 01:20:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:20:55.318882 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (427.457178ms) to execute
Nov 11 01:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:21:15.540466 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (132.851528ms) to execute
Nov 11 01:21:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:21:23.968883 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (139.261596ms) to execute
Nov 11 01:21:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:21:23.969460 W | etcdserver: request "header:<ID:14919139277666153656 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-btdq8\" mod_revision:37636282 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-btdq8\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-btdq8\" > >>" with result "size:20" took too long (137.033167ms) to execute
Nov 11 01:21:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:21:46.024409 W | etcdserver: request "header:<ID:14919139277666153883 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:37636342 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (161.561722ms) to execute
Nov 11 01:22:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:22:24.048511 W | etcdserver: request "header:<ID:14919139277666154200 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-2pr2v\" mod_revision:37636447 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-2pr2v\" value_size:1042 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-2pr2v\" > >>" with result "size:20" took too long (134.398865ms) to execute
Nov 11 01:22:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:22:24.050333 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fnsvp\" " with result "range_response_count:1 size:1121" took too long (139.230587ms) to execute
Nov 11 01:22:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:22:27.240838 W | wal: sync duration of 1.308611231s, expected less than 1s
Nov 11 01:22:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:22:27.243439 W | etcdserver: request "header:<ID:14919139277666154242 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-9xj7x.15d5f71c2ee8d300\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-9xj7x.15d5f71c2ee8d300\" value_size:456 lease:5695767240811378360 >> failure:<>>" with result "size:20" took too long (1.311129026s) to execute
