-- Logs begin at Mon 2019-11-04 06:45:01 UTC, end at Thu 2019-11-07 17:40:23 UTC. --
Nov 07 17:18:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:18:51.494384 I | mvcc: store.index: compact 36833114
Nov 07 17:18:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:18:51.505428 I | mvcc: finished scheduled compaction at 36833114 (took 8.866468ms)
Nov 07 17:22:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:22:57.058801 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (118.790728ms) to execute
Nov 07 17:22:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:22:57.058998 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (133.892753ms) to execute
Nov 07 17:23:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:23:51.509866 I | mvcc: store.index: compact 36833893
Nov 07 17:23:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:23:51.519322 I | mvcc: finished scheduled compaction at 36833893 (took 8.102857ms)
Nov 07 17:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:24:27.228233 W | etcdserver: request "header:<ID:14919139277662976199 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-mnrbq\" mod_revision:36834710 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-mnrbq\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-mnrbq\" > >>" with result "size:20" took too long (153.449522ms) to execute
Nov 07 17:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:24:27.229875 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (166.707222ms) to execute
Nov 07 17:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:24:27.242641 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s2gp8\" " with result "range_response_count:1 size:1121" took too long (171.551776ms) to execute
Nov 07 17:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:25:27.308697 W | etcdserver: request "header:<ID:14919139277662976743 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-4pmmv\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-4pmmv\" value_size:976 >> failure:<>>" with result "size:20" took too long (144.430921ms) to execute
Nov 07 17:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 17:25:27.309296 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4f149507a4302\" " with result "range_response_count:1 size:485" took too long (147.036725ms) to execute
