-- Logs begin at Wed 2019-11-06 07:52:18 UTC, end at Sat 2019-11-09 08:22:24 UTC. --
Nov 09 08:03:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:03:17.391711 W | etcdserver: request "header:<ID:14919139277664525578 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d56fd318410c68\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d56fd318410c68\" value_size:354 lease:5695767240809749531 >> failure:<>>" with result "size:20" took too long (113.265544ms) to execute
Nov 09 08:03:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:03:17.392494 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (114.908987ms) to execute
Nov 09 08:03:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:03:17.411634 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-trdpn\" " with result "range_response_count:1 size:1121" took too long (124.276707ms) to execute
Nov 09 08:03:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:03:17.412109 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (134.501966ms) to execute
Nov 09 08:04:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:01.508286 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (109.459485ms) to execute
Nov 09 08:04:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:01.508397 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (212.495102ms) to execute
Nov 09 08:04:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:15.339418 I | mvcc: store.index: compact 37225823
Nov 09 08:04:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:15.344867 I | mvcc: finished scheduled compaction at 37225823 (took 4.309925ms)
Nov 09 08:04:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:17.435042 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (157.48982ms) to execute
Nov 09 08:04:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:17.692722 W | etcdserver: request "header:<ID:14919139277664526136 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-925x9\" mod_revision:37226567 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-925x9\" value_size:1042 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-925x9\" > >>" with result "size:20" took too long (155.924087ms) to execute
Nov 09 08:04:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:17.700408 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pcj7x\" " with result "range_response_count:1 size:1121" took too long (161.471865ms) to execute
Nov 09 08:04:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:17.711060 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-djzfb\" " with result "range_response_count:1 size:1121" took too long (172.050234ms) to execute
Nov 09 08:04:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:47.759060 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-89q4f\" " with result "range_response_count:1 size:1121" took too long (135.358635ms) to execute
Nov 09 08:04:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:47.759139 W | etcdserver: request "header:<ID:14919139277664526454 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d56fe11fc6e000\" mod_revision:37226688 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d56fe11fc6e000\" value_size:386 lease:5695767240809750296 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d56fe11fc6e000\" > >>" with result "size:20" took too long (124.609831ms) to execute
Nov 09 08:04:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:47.774225 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-j58xv\" " with result "range_response_count:1 size:1121" took too long (143.783927ms) to execute
Nov 09 08:04:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 08:04:47.801034 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (161.940415ms) to execute
