-- Logs begin at Wed 2020-01-29 14:05:40 UTC, end at Fri 2020-01-31 14:35:19 UTC. --
Jan 31 14:13:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:13:50.341751 I | mvcc: store.index: compact 52965619
Jan 31 14:13:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:13:50.347326 I | mvcc: finished scheduled compaction at 52965619 (took 4.091504ms)
Jan 31 14:15:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:15:57.581147 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (122.142805ms) to execute
Jan 31 14:15:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:15:57.581343 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-qpqfr\" " with result "range_response_count:1 size:3128" took too long (110.063321ms) to execute
Jan 31 14:16:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:16:12.669778 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6149" took too long (151.092195ms) to execute
Jan 31 14:16:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:16:12.685782 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (107.440049ms) to execute
Jan 31 14:16:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:16:12.904042 W | etcdserver: request "header:<ID:14919139277750414233 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-6wlfv\" mod_revision:52966573 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-6wlfv\" value_size:2981 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-6wlfv\" > >>" with result "size:20" took too long (132.700736ms) to execute
Jan 31 14:16:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:16:12.919702 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2743" took too long (147.048389ms) to execute
Jan 31 14:16:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:16:12.919929 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (145.994071ms) to execute
Jan 31 14:17:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:17:54.907406 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jr4p6\" " with result "range_response_count:1 size:2946" took too long (113.758913ms) to execute
Jan 31 14:18:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:18:50.356699 I | mvcc: store.index: compact 52966249
Jan 31 14:18:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:18:50.363908 I | mvcc: finished scheduled compaction at 52966249 (took 5.191792ms)
Jan 31 14:19:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:19:32.844337 I | etcdserver: start to snapshot (applied: 58377003, lastsnap: 58367002)
Jan 31 14:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:19:33.071020 I | etcdserver: saved snapshot at index 58377003
Jan 31 14:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:19:33.071505 I | etcdserver: compacted raft log at 58372003
Jan 31 14:19:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:19:56.497507 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000379ffd6.snap successfully
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.407243 W | wal: sync duration of 1.658341085s, expected less than 1s
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.414768 W | etcdserver: request "header:<ID:14919139277750418700 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:52967493 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (1.665362779s) to execute
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.415082 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (1.522970532s) to execute
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.424320 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.457857319s) to execute
