-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 06:10:36 UTC. --
Nov 05 05:52:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:52:47.821676 I | mvcc: store.index: compact 36246878
Nov 05 05:52:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:52:47.826768 I | mvcc: finished scheduled compaction at 36246878 (took 3.889897ms)
Nov 05 05:53:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:53:02.890966 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (147.567019ms) to execute
Nov 05 05:53:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:53:02.891019 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-66ddj\" " with result "range_response_count:1 size:1118" took too long (142.82216ms) to execute
Nov 05 05:53:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:53:02.891307 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-884kn\" " with result "range_response_count:1 size:1121" took too long (143.673748ms) to execute
Nov 05 05:53:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:53:02.891477 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (148.494822ms) to execute
Nov 05 05:53:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:53:02.891773 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (150.06201ms) to execute
Nov 05 05:53:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:53:02.895540 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wzhln\" " with result "range_response_count:1 size:1121" took too long (140.802936ms) to execute
Nov 05 05:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:53:33.677092 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (296.781582ms) to execute
Nov 05 05:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:53:33.687210 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (202.659026ms) to execute
Nov 05 05:54:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:54:33.032393 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7zcmw\" " with result "range_response_count:1 size:1121" took too long (159.5548ms) to execute
Nov 05 05:54:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:54:33.033006 W | etcdserver: request "header:<ID:14919139277660666768 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d42e7a578d9426\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d42e7a578d9426\" value_size:354 lease:5695767240805890459 >> failure:<>>" with result "size:20" took too long (140.512249ms) to execute
Nov 05 05:54:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:54:33.078985 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nsckf\" " with result "range_response_count:1 size:1118" took too long (192.168294ms) to execute
Nov 05 05:54:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:54:33.079243 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8q7dt\" " with result "range_response_count:1 size:1121" took too long (192.663523ms) to execute
Nov 05 05:54:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:54:33.254828 W | etcdserver: request "header:<ID:14919139277660666784 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36247924 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (117.809739ms) to execute
Nov 05 05:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:55:33.074587 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f4sxf\" " with result "range_response_count:1 size:1121" took too long (162.973163ms) to execute
Nov 05 05:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:55:33.113638 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d42e7a62e1c823\" " with result "range_response_count:1 size:485" took too long (194.46755ms) to execute
