-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 00:00:31 UTC. --
Nov 04 23:42:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:42:44.648691 I | mvcc: store.index: compact 36187011
Nov 04 23:42:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:42:44.654030 I | mvcc: finished scheduled compaction at 36187011 (took 3.881256ms)
Nov 04 23:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:18.539320 N | compactor: Starting auto-compaction at revision 36115571
Nov 04 23:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:18.539818 N | compactor: Finished auto-compaction at revision 36115571
Nov 04 23:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:33.861313 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d41a65a3928713\" " with result "range_response_count:1 size:485" took too long (143.015736ms) to execute
Nov 04 23:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:33.861419 W | etcdserver: request "header:<ID:14919139277660452247 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-8fx2l.15d41a65a4d381f8\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-8fx2l.15d41a65a4d381f8\" value_size:389 lease:5695767240805676089 >> failure:<>>" with result "size:20" took too long (124.867435ms) to execute
Nov 04 23:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:33.880688 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8fx2l\" " with result "range_response_count:1 size:1118" took too long (149.673302ms) to execute
Nov 04 23:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:33.907922 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8r2wt\" " with result "range_response_count:1 size:1121" took too long (153.664292ms) to execute
Nov 04 23:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:34.083568 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (160.097488ms) to execute
Nov 04 23:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:34.084057 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d41a65a3928713\" " with result "range_response_count:1 size:485" took too long (161.235222ms) to execute
Nov 04 23:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:34.084157 W | etcdserver: request "header:<ID:14919139277660452268 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-58clc.15d41a65adb5ca70\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-58clc.15d41a65adb5ca70\" value_size:392 lease:5695767240805676089 >> failure:<>>" with result "size:20" took too long (121.662174ms) to execute
Nov 04 23:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:34.084628 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-operator\" " with result "range_response_count:1 size:414" took too long (132.563667ms) to execute
Nov 04 23:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:34.085043 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (103.683783ms) to execute
Nov 04 23:46:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:36.228064 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (107.222867ms) to execute
Nov 04 23:46:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:46:36.263010 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8r2wt\" " with result "range_response_count:1 size:1502" took too long (105.284998ms) to execute
Nov 04 23:47:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:47:34.053681 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (159.475248ms) to execute
Nov 04 23:47:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 23:47:34.053732 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d41a65a3928713\" " with result "range_response_count:1 size:485" took too long (158.947305ms) to execute
