-- Logs begin at Wed 2019-11-06 23:58:34 UTC, end at Sat 2019-11-09 21:46:06 UTC. --
Nov 09 21:24:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:24:23.398138 I | mvcc: store.index: compact 37355604
Nov 09 21:24:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:24:23.403347 I | mvcc: finished scheduled compaction at 37355604 (took 3.859757ms)
Nov 09 21:25:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:25:21.627221 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (108.879418ms) to execute
Nov 09 21:25:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:25:21.627460 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (381.20448ms) to execute
Nov 09 21:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:25:23.236705 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (126.928662ms) to execute
Nov 09 21:25:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:25:43.493164 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (113.392562ms) to execute
Nov 09 21:26:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:26:08.872826 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (105.280505ms) to execute
Nov 09 21:26:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:26:31.079599 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (219.78411ms) to execute
Nov 09 21:26:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:26:43.861727 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (481.35965ms) to execute
Nov 09 21:26:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:26:43.866772 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (421.705681ms) to execute
Nov 09 21:26:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:26:49.047897 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (234.112828ms) to execute
Nov 09 21:27:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:27:13.761412 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (381.563166ms) to execute
Nov 09 21:27:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:27:13.761780 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (247.92097ms) to execute
Nov 09 21:27:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:27:13.762580 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (416.771785ms) to execute
Nov 09 21:27:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:27:15.769387 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (468.228974ms) to execute
