-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 11:20:59 UTC. --
Feb 01 10:59:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:59:17.578333 I | mvcc: store.index: compact 53171934
Feb 01 10:59:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:59:17.588101 I | mvcc: finished scheduled compaction at 53171934 (took 6.946004ms)
Feb 01 11:00:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:00:53.264446 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (154.350609ms) to execute
Feb 01 11:00:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:00:53.264868 W | etcdserver: request "header:<ID:14919139277751215912 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" mod_revision:53169954 > success:<request_put:<key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" value_size:1063 >> failure:<request_range:<key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (136.52704ms) to execute
Feb 01 11:00:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:00:53.285210 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-75jwj\" " with result "range_response_count:1 size:3128" took too long (137.107599ms) to execute
Feb 01 11:00:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:00:53.286195 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (165.055058ms) to execute
Feb 01 11:00:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:00:54.837365 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (129.549384ms) to execute
Feb 01 11:00:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:00:54.837512 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (244.945628ms) to execute
Feb 01 11:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:02:53.590233 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (144.591621ms) to execute
Feb 01 11:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:02:53.612015 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-f48xz\" " with result "range_response_count:1 size:3255" took too long (155.425767ms) to execute
Feb 01 11:04:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:04:08.473617 W | etcdserver: request "header:<ID:14919139277751218209 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:53173478 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (152.544327ms) to execute
Feb 01 11:04:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:04:08.474519 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-pp2k7\" " with result "range_response_count:1 size:2738" took too long (157.621697ms) to execute
Feb 01 11:04:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:04:17.595409 I | mvcc: store.index: compact 53172781
