-- Logs begin at Sun 2019-11-03 00:17:30 UTC, end at Wed 2019-11-06 11:01:19 UTC. --
Nov 06 10:40:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:40:56.955576 I | etcdserver: start to snapshot (applied: 40314973, lastsnap: 40304972)
Nov 06 10:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:40:57.108006 I | etcdserver: saved snapshot at index 40314973
Nov 06 10:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:40:57.108384 I | etcdserver: compacted raft log at 40309973
Nov 06 10:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:41:10.164627 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002666507.snap successfully
Nov 06 10:43:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:43:01.776728 I | mvcc: store.index: compact 36531878
Nov 06 10:43:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:43:01.785324 I | mvcc: finished scheduled compaction at 36531878 (took 4.344453ms)
Nov 06 10:46:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:46:20.152292 N | compactor: Starting auto-compaction at revision 36451245
Nov 06 10:46:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:46:20.152799 N | compactor: Finished auto-compaction at revision 36451245
Nov 06 10:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:47:29.582173 W | etcdserver: request "header:<ID:14919139277661777350 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-8hczh\" mod_revision:36534242 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-8hczh\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-8hczh\" > >>" with result "size:20" took too long (142.745839ms) to execute
Nov 06 10:48:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:48:01.793422 I | mvcc: store.index: compact 36533383
Nov 06 10:48:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:48:01.801303 I | mvcc: finished scheduled compaction at 36533383 (took 6.164544ms)
Nov 06 10:48:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:48:29.622692 W | etcdserver: request "header:<ID:14919139277661777974 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-mnxft\" mod_revision:36534461 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-mnxft\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-mnxft\" > >>" with result "size:20" took too long (125.448458ms) to execute
Nov 06 10:48:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:48:29.641768 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (145.412101ms) to execute
Nov 06 10:48:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:48:29.669506 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h2lp7\" " with result "range_response_count:1 size:1121" took too long (169.211368ms) to execute
Nov 06 10:48:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:48:29.669588 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jzsxt\" " with result "range_response_count:1 size:1118" took too long (169.390789ms) to execute
Nov 06 10:48:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:48:29.669758 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (173.139488ms) to execute
Nov 06 10:48:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 10:48:29.887712 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d48d0b43c798c6\" " with result "range_response_count:1 size:485" took too long (204.633679ms) to execute
