-- Logs begin at Wed 2019-11-06 23:58:34 UTC, end at Sun 2019-11-10 02:10:35 UTC. --
Nov 10 01:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:48:37.101562 N | compactor: Starting auto-compaction at revision 37318888
Nov 10 01:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:48:37.101967 N | compactor: Finished auto-compaction at revision 37318888
Nov 10 01:49:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:49:24.674132 I | mvcc: store.index: compact 37399504
Nov 10 01:49:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:49:24.681177 I | mvcc: finished scheduled compaction at 37399504 (took 5.172543ms)
Nov 10 01:54:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:54:24.689744 I | mvcc: store.index: compact 37400248
Nov 10 01:54:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:54:24.695383 I | mvcc: finished scheduled compaction at 37400248 (took 4.469364ms)
Nov 10 01:57:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:57:04.423801 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (149.077944ms) to execute
Nov 10 01:58:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:58:17.914158 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-btc7k\" " with result "range_response_count:1 size:1121" took too long (111.813714ms) to execute
Nov 10 01:58:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:58:17.914564 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (149.922248ms) to execute
Nov 10 01:58:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:58:23.129800 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (317.819336ms) to execute
Nov 10 01:59:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:17.993552 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-477z6\" " with result "range_response_count:1 size:1121" took too long (119.062433ms) to execute
Nov 10 01:59:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:18.019188 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nlmvv\" " with result "range_response_count:1 size:1121" took too long (143.34275ms) to execute
Nov 10 01:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:24.705872 I | mvcc: store.index: compact 37401122
Nov 10 01:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:24.713685 I | mvcc: finished scheduled compaction at 37401122 (took 5.692158ms)
Nov 10 01:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:24.924403 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (132.999584ms) to execute
Nov 10 01:59:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:33.312696 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (353.789305ms) to execute
Nov 10 01:59:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:33.313108 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (463.977037ms) to execute
Nov 10 01:59:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:33.313329 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3152" took too long (511.932071ms) to execute
