-- Logs begin at Fri 2019-11-01 16:26:07 UTC, end at Mon 2019-11-04 12:24:44 UTC. --
Nov 04 12:02:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:02:34.996989 I | mvcc: store.index: compact 36080394
Nov 04 12:02:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:02:35.002671 I | mvcc: finished scheduled compaction at 36080394 (took 4.409959ms)
Nov 04 12:07:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:07:35.008757 I | mvcc: store.index: compact 36081159
Nov 04 12:07:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:07:35.014107 I | mvcc: finished scheduled compaction at 36081159 (took 4.402452ms)
Nov 04 12:08:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:08:49.461430 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (107.561552ms) to execute
Nov 04 12:08:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:08:49.461581 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (107.504227ms) to execute
Nov 04 12:09:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:09:19.397396 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (435.609932ms) to execute
Nov 04 12:09:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:09:49.528762 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (176.298332ms) to execute
Nov 04 12:09:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:09:49.529033 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (178.495193ms) to execute
Nov 04 12:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:12:34.994092 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vfzlv\" " with result "range_response_count:1 size:1121" took too long (161.309434ms) to execute
Nov 04 12:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:12:34.994429 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p5dvt\" " with result "range_response_count:1 size:1121" took too long (167.758818ms) to execute
Nov 04 12:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:12:34.995366 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-krbkf\" " with result "range_response_count:1 size:1118" took too long (166.691846ms) to execute
Nov 04 12:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:12:35.126408 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pq5j7\" " with result "range_response_count:1 size:1121" took too long (286.102972ms) to execute
Nov 04 12:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:12:35.126569 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3f486d514a018\" " with result "range_response_count:1 size:485" took too long (278.814776ms) to execute
Nov 04 12:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:12:35.158513 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (132.035966ms) to execute
Nov 04 12:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:12:35.294393 I | mvcc: store.index: compact 36081976
Nov 04 12:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:12:35.295936 W | etcdserver: request "header:<ID:14919139277660065292 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:36081976 > " with result "size:7" took too long (136.260923ms) to execute
Nov 04 12:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:12:35.301415 I | mvcc: finished scheduled compaction at 36081976 (took 5.538363ms)
Nov 04 12:15:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:15:35.158764 W | etcdserver: request "header:<ID:14919139277660066829 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d3f486d514a018\" mod_revision:36083370 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d3f486d514a018\" value_size:386 lease:5695767240805290756 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d3f486d514a018\" > >>" with result "size:20" took too long (109.632331ms) to execute
Nov 04 12:15:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:15:35.178692 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f9qkl\" " with result "range_response_count:1 size:1121" took too long (128.875424ms) to execute
Nov 04 12:15:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:15:35.180549 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ljf8h\" " with result "range_response_count:1 size:1121" took too long (130.640965ms) to execute
