-- Logs begin at Fri 2019-11-08 11:29:00 UTC, end at Sun 2019-11-10 22:00:08 UTC. --
Nov 10 21:40:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:40:19.824647 I | mvcc: store.index: compact 37599902
Nov 10 21:40:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:40:19.832436 I | mvcc: finished scheduled compaction at 37599902 (took 5.130186ms)
Nov 10 21:43:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:43:23.613428 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (162.873064ms) to execute
Nov 10 21:43:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:43:24.530434 W | etcdserver: request "header:<ID:14919139277666019644 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-jpfnh\" mod_revision:37601963 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-jpfnh\" value_size:1425 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-jpfnh\" > >>" with result "size:20" took too long (108.30578ms) to execute
Nov 10 21:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:44:24.590255 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dnjsq\" " with result "range_response_count:1 size:1121" took too long (143.193811ms) to execute
Nov 10 21:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:44:24.593731 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xlr7r\" " with result "range_response_count:1 size:1121" took too long (142.218478ms) to execute
Nov 10 21:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:44:24.593776 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (110.305021ms) to execute
Nov 10 21:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:44:24.594458 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nqvj8\" " with result "range_response_count:1 size:1121" took too long (122.182076ms) to execute
Nov 10 21:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:44:24.594684 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-d9xk5\" " with result "range_response_count:1 size:1118" took too long (123.625954ms) to execute
Nov 10 21:44:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:44:27.825440 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (271.311273ms) to execute
Nov 10 21:44:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:44:27.825611 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (158.524137ms) to execute
