-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 07:47:48 UTC. --
Nov 05 07:27:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:27:48.559539 I | mvcc: store.index: compact 36259665
Nov 05 07:27:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:27:48.564243 I | mvcc: finished scheduled compaction at 36259665 (took 3.650496ms)
Nov 05 07:31:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:31:48.588156 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (379.993343ms) to execute
Nov 05 07:31:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:31:48.593836 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (314.840921ms) to execute
Nov 05 07:32:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:32:30.571045 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lhm66\" " with result "range_response_count:1 size:1118" took too long (127.65195ms) to execute
Nov 05 07:32:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:32:48.570522 I | mvcc: store.index: compact 36260463
Nov 05 07:32:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:32:48.578917 I | mvcc: finished scheduled compaction at 36260463 (took 6.972138ms)
Nov 05 07:36:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:36:30.938134 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xjcjt\" " with result "range_response_count:1 size:1121" took too long (139.341753ms) to execute
Nov 05 07:37:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:37:30.207490 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (149.198739ms) to execute
Nov 05 07:37:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:37:30.953583 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7nrjp\" " with result "range_response_count:1 size:1121" took too long (144.774091ms) to execute
Nov 05 07:37:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:37:30.954656 W | etcdserver: request "header:<ID:14919139277660721351 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-87b6h.15d43418c2523aea\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-87b6h.15d43418c2523aea\" value_size:389 lease:5695767240805945348 >> failure:<>>" with result "size:20" took too long (137.468159ms) to execute
Nov 05 07:37:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:37:30.968998 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4340ac57b6a89\" " with result "range_response_count:1 size:485" took too long (151.140377ms) to execute
