-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 03:38:55 UTC. --
Nov 07 03:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:18:12.770449 I | mvcc: store.index: compact 36696375
Nov 07 03:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:18:12.773666 W | etcdserver: request "header:<ID:14919139277662434409 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:36696375 > " with result "size:7" took too long (102.71702ms) to execute
Nov 07 03:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:18:12.784461 I | mvcc: finished scheduled compaction at 36696375 (took 10.096951ms)
Nov 07 03:20:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:20:15.390815 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (105.223387ms) to execute
Nov 07 03:21:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:21:37.278501 W | etcdserver: request "header:<ID:14919139277662436366 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-56g9n\" mod_revision:36698621 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-56g9n\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-56g9n\" > >>" with result "size:20" took too long (125.410901ms) to execute
Nov 07 03:23:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:23:12.787093 I | mvcc: store.index: compact 36698053
Nov 07 03:23:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:23:12.798101 I | mvcc: finished scheduled compaction at 36698053 (took 9.003743ms)
Nov 07 03:26:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:26:37.658989 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (130.022914ms) to execute
Nov 07 03:26:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:26:37.662708 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vs8s2\" " with result "range_response_count:1 size:1121" took too long (130.640846ms) to execute
Nov 07 03:26:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:26:37.662826 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ljzth\" " with result "range_response_count:1 size:1121" took too long (122.233614ms) to execute
Nov 07 03:26:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:26:43.710276 I | etcdserver: start to snapshot (applied: 40494992, lastsnap: 40484991)
Nov 07 03:26:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:26:43.806111 I | etcdserver: saved snapshot at index 40494992
Nov 07 03:26:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:26:43.806395 I | etcdserver: compacted raft log at 40489992
Nov 07 03:27:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:27:10.786006 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000269243b.snap successfully
Nov 07 03:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:28:12.799569 I | mvcc: store.index: compact 36698965
Nov 07 03:28:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 03:28:12.808904 I | mvcc: finished scheduled compaction at 36698965 (took 7.764214ms)
