-- Logs begin at Wed 2019-11-06 07:52:18 UTC, end at Sat 2019-11-09 05:29:23 UTC. --
Nov 09 05:09:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:09:12.664230 I | mvcc: store.index: compact 37195288
Nov 09 05:09:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:09:12.675578 I | mvcc: finished scheduled compaction at 37195288 (took 5.429909ms)
Nov 09 05:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:09:13.115271 W | etcdserver: request "header:<ID:14919139277664413730 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:37196718 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (426.142657ms) to execute
Nov 09 05:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:09:13.115651 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (462.319954ms) to execute
Nov 09 05:12:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:12:53.484444 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (104.347455ms) to execute
Nov 09 05:14:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:14:12.683598 I | mvcc: store.index: compact 37196741
Nov 09 05:14:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:14:12.694186 I | mvcc: finished scheduled compaction at 37196741 (took 8.776354ms)
Nov 09 05:14:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:14:26.405809 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-q6fv7.15d566839ece22f0\" " with result "range_response_count:1 size:588" took too long (124.917598ms) to execute
Nov 09 05:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:14:28.239883 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (271.121952ms) to execute
Nov 09 05:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:14:28.247973 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (187.514354ms) to execute
Nov 09 05:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:14:28.248210 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (173.426522ms) to execute
Nov 09 05:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:14:28.248283 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (174.101165ms) to execute
Nov 09 05:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 05:14:28.248381 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (173.486924ms) to execute
