-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Mon 2019-11-04 23:12:04 UTC. --
Nov 04 22:51:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:51:26.706229 W | etcdserver: request "header:<ID:14919139277660420947 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-jf54f\" mod_revision:36179517 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-jf54f\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-jf54f\" > >>" with result "size:20" took too long (104.817822ms) to execute
Nov 04 22:52:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:52:44.371621 I | mvcc: store.index: compact 36178983
Nov 04 22:52:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:52:44.379588 I | mvcc: finished scheduled compaction at 36178983 (took 6.467027ms)
Nov 04 22:55:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:55:27.128822 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (132.851102ms) to execute
Nov 04 22:55:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:55:27.131274 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6pksx\" " with result "range_response_count:1 size:1118" took too long (121.037201ms) to execute
Nov 04 22:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:55:29.991920 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (240.246647ms) to execute
Nov 04 22:55:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:55:40.546086 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (514.598654ms) to execute
Nov 04 22:55:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:55:40.571326 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (263.548054ms) to execute
Nov 04 22:55:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:55:40.571462 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (509.216437ms) to execute
Nov 04 22:56:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:56:02.077506 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (414.098843ms) to execute
Nov 04 22:56:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:56:42.626680 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (166.459723ms) to execute
Nov 04 22:56:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:56:47.867324 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (111.282362ms) to execute
Nov 04 22:56:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:56:51.874397 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (754.358325ms) to execute
Nov 04 22:56:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:56:51.905948 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (737.522437ms) to execute
