-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Mon 2019-11-04 22:47:52 UTC. --
Nov 04 22:27:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:27:44.131080 I | mvcc: store.index: compact 36174548
Nov 04 22:27:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:27:44.136426 I | mvcc: finished scheduled compaction at 36174548 (took 3.772247ms)
Nov 04 22:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:32:44.146982 I | mvcc: store.index: compact 36175318
Nov 04 22:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:32:44.153059 I | mvcc: finished scheduled compaction at 36175318 (took 4.688643ms)
Nov 04 22:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:32:44.354660 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (110.308218ms) to execute
Nov 04 22:35:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:35:26.577901 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (134.359882ms) to execute
Nov 04 22:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:37:44.243772 I | mvcc: store.index: compact 36176181
Nov 04 22:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:37:44.249724 I | mvcc: finished scheduled compaction at 36176181 (took 4.636046ms)
Nov 04 22:42:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:42:44.268289 I | mvcc: store.index: compact 36177094
Nov 04 22:42:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:42:44.274588 I | mvcc: finished scheduled compaction at 36177094 (took 4.945461ms)
Nov 04 22:43:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:43:18.647012 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (306.207531ms) to execute
Nov 04 22:43:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:43:18.647340 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (358.614693ms) to execute
Nov 04 22:43:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:43:27.089133 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9bgnt\" " with result "range_response_count:1 size:1118" took too long (161.518398ms) to execute
Nov 04 22:43:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:43:27.089542 W | etcdserver: request "header:<ID:14919139277660415889 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-bqdp7.15d416f3f6e51a38\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-bqdp7.15d416f3f6e51a38\" value_size:392 lease:5695767240805640060 >> failure:<>>" with result "size:20" took too long (136.655819ms) to execute
Nov 04 22:43:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:43:27.104921 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z9tqv\" " with result "range_response_count:1 size:1121" took too long (155.40317ms) to execute
Nov 04 22:43:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:43:27.105105 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d416f3f58a5ed3\" " with result "range_response_count:1 size:485" took too long (166.095189ms) to execute
Nov 04 22:43:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:43:27.105319 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bqdp7\" " with result "range_response_count:1 size:1121" took too long (153.391478ms) to execute
Nov 04 22:43:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 22:43:27.105424 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (165.375525ms) to execute
