-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 01:59:46 UTC. --
Nov 07 01:37:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:37:49.940276 W | etcdserver: request "header:<ID:14919139277662368072 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:36679310 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6412 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (544.955882ms) to execute
Nov 07 01:37:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:37:49.943847 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (462.413725ms) to execute
Nov 07 01:38:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:38:11.969463 I | mvcc: store.index: compact 36677813
Nov 07 01:38:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:38:11.976029 I | mvcc: finished scheduled compaction at 36677813 (took 5.055139ms)
Nov 07 01:39:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:39:00.242904 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gsm4n\" " with result "range_response_count:1 size:1624" took too long (396.562232ms) to execute
Nov 07 01:39:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:39:00.251423 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-gsm4n.15d4bdace3993a83\" " with result "range_response_count:1 size:592" took too long (404.48931ms) to execute
Nov 07 01:41:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:41:20.135649 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (346.248048ms) to execute
Nov 07 01:41:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:41:20.135768 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gsm4n\" " with result "range_response_count:1 size:1735" took too long (288.686224ms) to execute
Nov 07 01:41:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:41:20.135866 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (142.133024ms) to execute
Nov 07 01:42:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:42:08.520533 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (218.245251ms) to execute
Nov 07 01:42:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:42:12.071268 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (245.425624ms) to execute
Nov 07 01:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:42:18.850794 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-b2xfk.15d4bdac6790c591\" " with result "range_response_count:1 size:592" took too long (143.529272ms) to execute
Nov 07 01:43:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:43:11.986149 I | mvcc: store.index: compact 36679370
Nov 07 01:43:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:43:12.001073 I | mvcc: finished scheduled compaction at 36679370 (took 13.495306ms)
Nov 07 01:43:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:43:12.436661 W | etcdserver: request "header:<ID:14919139277662371022 > lease_revoke:<id:4f0b6e20c7a4bc44>" with result "size:29" took too long (265.229854ms) to execute
Nov 07 01:43:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:43:12.436818 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gsm4n\" " with result "range_response_count:1 size:1735" took too long (122.298488ms) to execute
Nov 07 01:43:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:43:12.436988 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (113.441984ms) to execute
Nov 07 01:43:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:43:56.410185 W | wal: sync duration of 1.372819025s, expected less than 1s
Nov 07 01:43:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:43:56.413852 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (782.285592ms) to execute
Nov 07 01:43:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:43:56.414581 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (944.270668ms) to execute
Nov 07 01:43:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:43:56.640072 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kn6fd\" " with result "range_response_count:1 size:1118" took too long (141.887324ms) to execute
Nov 07 01:46:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:46:59.847550 N | compactor: Starting auto-compaction at revision 36600420
Nov 07 01:46:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:46:59.848163 N | compactor: Finished auto-compaction at revision 36600420
Nov 07 01:47:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:47:11.823630 I | etcdserver: start to snapshot (applied: 40474990, lastsnap: 40464989)
Nov 07 01:47:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:47:12.027434 I | etcdserver: saved snapshot at index 40474990
Nov 07 01:47:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:47:12.027672 I | etcdserver: compacted raft log at 40469990
Nov 07 01:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:47:40.724377 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000268d619.snap successfully
Nov 07 01:48:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:48:12.005893 I | mvcc: store.index: compact 36680184
Nov 07 01:48:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:48:12.011719 I | mvcc: finished scheduled compaction at 36680184 (took 4.892405ms)
Nov 07 01:48:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:48:12.250004 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (102.581681ms) to execute
Nov 07 01:48:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:48:57.090388 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xg46j\" " with result "range_response_count:1 size:1118" took too long (148.207878ms) to execute
Nov 07 01:48:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:48:57.090643 W | etcdserver: request "header:<ID:14919139277662374432 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-hk69l.15d4be3c808fb8a8\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-hk69l.15d4be3c808fb8a8\" value_size:392 lease:5695767240807598034 >> failure:<>>" with result "size:20" took too long (124.683872ms) to execute
Nov 07 01:48:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:48:57.091067 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (141.773671ms) to execute
Nov 07 01:48:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:48:57.091096 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hk69l\" " with result "range_response_count:1 size:1121" took too long (143.553401ms) to execute
Nov 07 01:48:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:48:57.091530 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pz6nd\" " with result "range_response_count:1 size:1121" took too long (121.826479ms) to execute
Nov 07 01:53:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:53:12.020003 I | mvcc: store.index: compact 36681106
Nov 07 01:53:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:53:12.025988 I | mvcc: finished scheduled compaction at 36681106 (took 4.563335ms)
Nov 07 01:53:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:53:57.387036 W | etcdserver: request "header:<ID:14919139277662377542 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-pjbkj\" mod_revision:36682332 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-pjbkj\" value_size:1425 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-pjbkj\" > >>" with result "size:20" took too long (133.094196ms) to execute
Nov 07 01:53:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 01:53:57.387134 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (131.330636ms) to execute
