-- Logs begin at Tue 2019-11-05 09:07:00 UTC, end at Fri 2019-11-08 09:34:44 UTC. --
Nov 08 09:14:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:14:00.621028 I | mvcc: store.index: compact 36999121
Nov 08 09:14:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:14:00.627797 I | mvcc: finished scheduled compaction at 36999121 (took 4.924883ms)
Nov 08 09:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:14:03.981882 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (135.010888ms) to execute
Nov 08 09:17:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:17:38.643388 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (110.300927ms) to execute
Nov 08 09:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:17:41.305463 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (317.512981ms) to execute
Nov 08 09:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:17:49.601607 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (100.878933ms) to execute
Nov 08 09:18:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:18:19.789202 W | etcdserver: request "header:<ID:14919139277663616169 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d52556d13d42b7\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d52556d13d42b7\" value_size:354 lease:5695767240808840313 >> failure:<>>" with result "size:20" took too long (117.71326ms) to execute
Nov 08 09:18:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:18:19.790076 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (129.441244ms) to execute
Nov 08 09:18:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:18:19.790505 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (129.857104ms) to execute
Nov 08 09:18:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:18:19.790679 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5kvcw\" " with result "range_response_count:1 size:1121" took too long (119.379526ms) to execute
Nov 08 09:18:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:18:19.790803 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b76xs\" " with result "range_response_count:1 size:1118" took too long (122.271082ms) to execute
Nov 08 09:19:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:19:00.634298 I | mvcc: store.index: compact 36999848
Nov 08 09:19:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:19:00.645366 I | mvcc: finished scheduled compaction at 36999848 (took 8.526935ms)
Nov 08 09:19:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:19:19.883579 W | etcdserver: request "header:<ID:14919139277663616766 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d52564cf0c2048\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d52564cf0c2048\" value_size:354 lease:5695767240808840924 >> failure:<>>" with result "size:20" took too long (126.247935ms) to execute
Nov 08 09:19:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 09:19:19.885245 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dw96v\" " with result "range_response_count:1 size:1121" took too long (128.704874ms) to execute
