-- Logs begin at Wed 2019-11-06 23:58:34 UTC, end at Sun 2019-11-10 02:59:09 UTC. --
Nov 10 02:39:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:39:24.851415 I | mvcc: store.index: compact 37407772
Nov 10 02:39:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:39:24.857322 I | mvcc: finished scheduled compaction at 37407772 (took 4.948683ms)
Nov 10 02:39:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:39:25.124888 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (106.407675ms) to execute
Nov 10 02:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:39:28.689082 W | etcdserver: request "header:<ID:14919139277665259580 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-9cd7v.15d5acbc0f765428\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-9cd7v.15d5acbc0f765428\" value_size:392 lease:5695767240810483750 >> failure:<>>" with result "size:20" took too long (121.819827ms) to execute
Nov 10 02:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:39:28.690413 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (133.813011ms) to execute
Nov 10 02:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:39:28.725117 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9cd7v\" " with result "range_response_count:1 size:1121" took too long (161.490928ms) to execute
Nov 10 02:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:39:28.725178 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (168.538058ms) to execute
Nov 10 02:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:39:28.725282 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6b52x\" " with result "range_response_count:1 size:1118" took too long (151.768974ms) to execute
Nov 10 02:40:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:40:28.676683 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nhlz7\" " with result "range_response_count:1 size:1121" took too long (114.15652ms) to execute
Nov 10 02:40:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:40:28.705875 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hnhdp\" " with result "range_response_count:1 size:1121" took too long (143.283307ms) to execute
Nov 10 02:41:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:41:28.720007 W | etcdserver: request "header:<ID:14919139277665260688 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-z7qsz\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-z7qsz\" value_size:976 >> failure:<>>" with result "size:20" took too long (103.071431ms) to execute
Nov 10 02:41:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:41:28.720928 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d5acca0790f014\" " with result "range_response_count:1 size:485" took too long (107.438ms) to execute
Nov 10 02:41:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:41:28.961160 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d5acca0790f014\" " with result "range_response_count:1 size:485" took too long (166.835553ms) to execute
Nov 10 02:41:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:41:28.961268 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (172.223847ms) to execute
Nov 10 02:41:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:41:28.961403 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6tzzh\" " with result "range_response_count:1 size:1118" took too long (172.808913ms) to execute
Nov 10 02:41:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:41:28.961568 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (155.448273ms) to execute
Nov 10 02:41:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:41:43.768724 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fx9q7\" " with result "range_response_count:1 size:1121" took too long (116.327878ms) to execute
Nov 10 02:41:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:41:43.769324 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jzpxz\" " with result "range_response_count:1 size:1121" took too long (125.230755ms) to execute
Nov 10 02:42:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:42:28.990133 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (139.346701ms) to execute
Nov 10 02:42:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:42:29.024547 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h58w9\" " with result "range_response_count:1 size:1118" took too long (161.251601ms) to execute
Nov 10 02:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:44:24.983433 I | mvcc: store.index: compact 37408437
Nov 10 02:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:44:24.988338 I | mvcc: finished scheduled compaction at 37408437 (took 3.963853ms)
Nov 10 02:44:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:44:25.190690 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (182.63905ms) to execute
Nov 10 02:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:48:37.105309 N | compactor: Starting auto-compaction at revision 37329527
Nov 10 02:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:48:37.105892 N | compactor: Finished auto-compaction at revision 37329527
Nov 10 02:49:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:49:24.998946 I | mvcc: store.index: compact 37409274
Nov 10 02:49:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:49:25.004581 I | mvcc: finished scheduled compaction at 37409274 (took 4.532692ms)
Nov 10 02:54:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:54:25.009640 I | mvcc: store.index: compact 37409790
Nov 10 02:54:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:54:25.014563 I | mvcc: finished scheduled compaction at 37409790 (took 3.901777ms)
Nov 10 02:54:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:54:53.668511 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (108.196904ms) to execute
