-- Logs begin at Fri 2020-01-31 04:28:31 UTC, end at Sat 2020-02-01 19:15:21 UTC. --
Feb 01 18:52:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:52:32.983451 W | etcdserver: request "header:<ID:14919139277751529432 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:53251196 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (126.717077ms) to execute
Feb 01 18:53:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:53:18.900819 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (216.791669ms) to execute
Feb 01 18:54:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:54:22.605463 I | mvcc: store.index: compact 53250028
Feb 01 18:54:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:54:22.610952 I | mvcc: finished scheduled compaction at 53250028 (took 3.901575ms)
Feb 01 18:56:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:56:09.305788 W | wal: sync duration of 1.89540918s, expected less than 1s
Feb 01 18:56:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:56:09.312169 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (171.565808ms) to execute
Feb 01 18:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:03.370323 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dxc7h\" " with result "range_response_count:1 size:1121" took too long (165.710612ms) to execute
Feb 01 18:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:03.370516 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (172.349922ms) to execute
Feb 01 18:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:03.370721 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g85hf\" " with result "range_response_count:1 size:1121" took too long (166.708937ms) to execute
Feb 01 18:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:03.371244 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (172.268696ms) to execute
Feb 01 18:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:03.373226 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5ctfj\" " with result "range_response_count:1 size:1121" took too long (162.352283ms) to execute
Feb 01 18:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:03.373417 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z6gv9\" " with result "range_response_count:1 size:1121" took too long (153.336007ms) to execute
Feb 01 18:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:03.373614 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ctcxr\" " with result "range_response_count:1 size:1118" took too long (160.743916ms) to execute
Feb 01 18:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:03.373788 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (161.783345ms) to execute
Feb 01 18:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:03.373963 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef5c3fc5459ff0\" " with result "range_response_count:1 size:485" took too long (162.330687ms) to execute
Feb 01 18:57:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:57:05.458151 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ctcxr\" " with result "range_response_count:1 size:1498" took too long (120.412155ms) to execute
Feb 01 18:58:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:58:03.440040 W | etcdserver: request "header:<ID:14919139277751532438 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-9vd5p.15ef5c4dc2963f3c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-9vd5p.15ef5c4dc2963f3c\" value_size:392 lease:5695767240896756562 >> failure:<>>" with result "size:20" took too long (138.447449ms) to execute
Feb 01 18:58:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:58:03.454533 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9vd5p\" " with result "range_response_count:1 size:1121" took too long (129.580016ms) to execute
Feb 01 18:59:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:59:03.564790 W | etcdserver: request "header:<ID:14919139277751533012 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15ef5c3fc5459ff0\" mod_revision:53252297 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15ef5c3fc5459ff0\" value_size:386 lease:5695767240896757169 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15ef5c3fc5459ff0\" > >>" with result "size:20" took too long (151.395216ms) to execute
Feb 01 18:59:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:59:03.566023 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g4fmp\" " with result "range_response_count:1 size:1121" took too long (154.517547ms) to execute
Feb 01 18:59:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:59:22.617558 I | mvcc: store.index: compact 53251437
Feb 01 18:59:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:59:22.625932 I | mvcc: finished scheduled compaction at 53251437 (took 7.199869ms)
Feb 01 18:59:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:59:23.012872 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (196.611321ms) to execute
Feb 01 18:59:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 18:59:23.012988 W | etcdserver: request "header:<ID:14919139277751533217 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:53252381 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (170.254247ms) to execute
Feb 01 19:01:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:01:14.171888 W | etcdserver: request "header:<ID:14919139277751534114 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:53252601 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (200.281557ms) to execute
Feb 01 19:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:01:26.650155 W | etcdserver: request "header:<ID:14919139277751534193 > lease_revoke:<id:4f0b6e20ccf5420f>" with result "size:29" took too long (137.458887ms) to execute
Feb 01 19:02:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:02:57.286385 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (106.817566ms) to execute
Feb 01 19:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:03:58.922609 W | wal: sync duration of 1.880098116s, expected less than 1s
Feb 01 19:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:03:58.923838 W | etcdserver: failed to revoke 4f0b6e20ccf54697 ("lease not found")
Feb 01 19:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:03:58.923901 W | etcdserver: failed to revoke 4f0b6e20ccf54697 ("lease not found")
Feb 01 19:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:03:58.923921 W | etcdserver: failed to revoke 4f0b6e20ccf54697 ("lease not found")
Feb 01 19:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:03:58.924353 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (1.41815866s) to execute
Feb 01 19:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:03:58.937648 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.149451763s) to execute
Feb 01 19:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:03:58.937801 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.383112946s) to execute
Feb 01 19:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:03:58.938147 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (687.375957ms) to execute
Feb 01 19:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:02.042501 W | wal: sync duration of 1.09129627s, expected less than 1s
Feb 01 19:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:02.042919 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.082302982s) to execute
Feb 01 19:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:02.055923 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (439.003751ms) to execute
Feb 01 19:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:02.056092 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1418" took too long (670.382422ms) to execute
Feb 01 19:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:02.616116 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (555.926065ms) to execute
Feb 01 19:04:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:02.616258 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (353.52476ms) to execute
Feb 01 19:04:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:03.484886 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (210.305404ms) to execute
Feb 01 19:04:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:03.485189 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28480" took too long (448.116293ms) to execute
Feb 01 19:04:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:04.733684 W | etcdserver: request "header:<ID:14919139277751535424 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:53252915 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (425.515911ms) to execute
Feb 01 19:04:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:04.734016 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (795.540471ms) to execute
Feb 01 19:04:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:04.740939 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (465.69132ms) to execute
Feb 01 19:04:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:04.741160 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (678.213683ms) to execute
Feb 01 19:04:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:05.282456 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (543.393158ms) to execute
Feb 01 19:04:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:05.371988 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (152.84962ms) to execute
Feb 01 19:04:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:05.372437 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (407.280519ms) to execute
Feb 01 19:04:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:05.372705 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (628.09693ms) to execute
Feb 01 19:04:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:07.747046 W | etcdserver: failed to revoke 4f0b6e20ccf546d3 ("lease not found")
Feb 01 19:04:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:07.747363 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (457.54129ms) to execute
Feb 01 19:04:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:07.957759 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (375.268803ms) to execute
Feb 01 19:04:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:07.957901 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (547.873659ms) to execute
Feb 01 19:04:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:10.750014 W | wal: sync duration of 1.811984787s, expected less than 1s
Feb 01 19:04:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:10.750634 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (934.726033ms) to execute
Feb 01 19:04:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:10.750744 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (228.682727ms) to execute
Feb 01 19:04:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:10.750878 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.401219018s) to execute
Feb 01 19:04:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:10.750986 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (133.998814ms) to execute
Feb 01 19:04:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:10.751099 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (787.548428ms) to execute
Feb 01 19:04:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:10.751248 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (819.248618ms) to execute
Feb 01 19:04:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:10.751377 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (371.309711ms) to execute
Feb 01 19:04:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:11.741542 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pod-garbage-collector\" " with result "range_response_count:1 size:262" took too long (984.091027ms) to execute
Feb 01 19:04:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:11.741981 W | etcdserver: request "header:<ID:14919139277751535461 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:53252938 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:374 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (375.160742ms) to execute
Feb 01 19:04:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:11.747794 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (989.67359ms) to execute
Feb 01 19:04:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:13.410029 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (728.629525ms) to execute
Feb 01 19:04:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:13.410065 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (646.049839ms) to execute
Feb 01 19:04:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 19:04:13.961936 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (214.257568ms) to execute
