-- Logs begin at Sat 2019-11-02 08:56:48 UTC, end at Tue 2019-11-05 18:58:38 UTC. --
Nov 05 18:37:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:37:53.139281 I | mvcc: store.index: compact 36368296
Nov 05 18:37:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:37:53.144428 I | mvcc: finished scheduled compaction at 36368296 (took 4.13176ms)
Nov 05 18:42:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:42:53.231932 I | mvcc: store.index: compact 36368993
Nov 05 18:42:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:42:53.238467 I | mvcc: finished scheduled compaction at 36368993 (took 4.969487ms)
Nov 05 18:43:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:43:34.628983 W | etcdserver: request "header:<ID:14919139277661121648 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36370022 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (131.989058ms) to execute
Nov 05 18:43:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:43:34.636687 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d45871858d4d69\" " with result "range_response_count:1 size:485" took too long (151.904059ms) to execute
Nov 05 18:43:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:43:34.648623 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2wt6n\" " with result "range_response_count:1 size:1118" took too long (149.419855ms) to execute
Nov 05 18:43:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:43:34.844303 W | etcdserver: request "header:<ID:14919139277661121665 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-j7lz2\" mod_revision:36370040 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-j7lz2\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-j7lz2\" > >>" with result "size:20" took too long (110.447684ms) to execute
Nov 05 18:44:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:44:34.609965 W | etcdserver: request "header:<ID:14919139277661122286 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36370268 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (103.66079ms) to execute
Nov 05 18:44:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:44:34.611137 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d45871858d4d69\" " with result "range_response_count:1 size:485" took too long (108.420423ms) to execute
Nov 05 18:44:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:44:34.626698 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nr75n\" " with result "range_response_count:1 size:1121" took too long (122.886266ms) to execute
Nov 05 18:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:45:34.801640 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d45871858d4d69\" " with result "range_response_count:1 size:485" took too long (142.002076ms) to execute
Nov 05 18:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:45:34.802196 W | etcdserver: request "header:<ID:14919139277661122847 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36370418 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (129.831717ms) to execute
Nov 05 18:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:45:34.821238 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9jtxw\" " with result "range_response_count:1 size:1121" took too long (149.965036ms) to execute
Nov 05 18:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:45:34.821292 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qrht6\" " with result "range_response_count:1 size:1121" took too long (152.304472ms) to execute
Nov 05 18:45:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:45:35.036573 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d45871858d4d69\" " with result "range_response_count:1 size:485" took too long (140.015383ms) to execute
Nov 05 18:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:46:18.989322 N | compactor: Starting auto-compaction at revision 36294376
Nov 05 18:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:46:18.989612 N | compactor: Finished auto-compaction at revision 36294376
Nov 05 18:47:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:47:53.244290 I | mvcc: store.index: compact 36369915
Nov 05 18:47:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:47:53.250996 I | mvcc: finished scheduled compaction at 36369915 (took 5.066537ms)
Nov 05 18:50:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 18:50:39.490726 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (412.982453ms) to execute
