-- Logs begin at Wed 2019-11-06 23:58:34 UTC, end at Sat 2019-11-09 22:10:41 UTC. --
Nov 09 21:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:48:37.081113 N | compactor: Starting auto-compaction at revision 37282018
Nov 09 21:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:48:37.081478 N | compactor: Finished auto-compaction at revision 37282018
Nov 09 21:49:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:49:23.583285 I | mvcc: store.index: compact 37359734
Nov 09 21:49:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:49:23.588178 I | mvcc: finished scheduled compaction at 37359734 (took 3.753548ms)
Nov 09 21:53:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:53:18.214793 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (385.568831ms) to execute
Nov 09 21:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:54:15.288857 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (185.925973ms) to execute
Nov 09 21:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:54:15.289403 W | etcdserver: request "header:<ID:14919139277665076868 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d59d2b86c55dce\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d59d2b86c55dce\" value_size:354 lease:5695767240810301033 >> failure:<>>" with result "size:20" took too long (140.551488ms) to execute
Nov 09 21:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:54:15.291134 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l5qfw\" " with result "range_response_count:1 size:1121" took too long (149.169969ms) to execute
Nov 09 21:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:54:15.291294 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kube-proxy\" " with result "range_response_count:1 size:228" took too long (160.659815ms) to execute
Nov 09 21:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:54:15.291549 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rvh8f\" " with result "range_response_count:1 size:1121" took too long (161.775189ms) to execute
Nov 09 21:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:54:15.291633 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p88zl\" " with result "range_response_count:1 size:1118" took too long (135.914141ms) to execute
Nov 09 21:54:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:54:23.612155 I | mvcc: store.index: compact 37360467
Nov 09 21:54:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:54:23.617607 I | mvcc: finished scheduled compaction at 37360467 (took 4.249523ms)
Nov 09 21:54:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:54:23.858649 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-4qkrq.15d59d193944e13a\" " with result "range_response_count:1 size:468" took too long (122.13294ms) to execute
Nov 09 21:55:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:55:15.365997 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d59d2b92183568\" " with result "range_response_count:1 size:485" took too long (143.874839ms) to execute
Nov 09 21:55:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 21:55:15.403497 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-txpr7\" " with result "range_response_count:1 size:1121" took too long (166.752163ms) to execute
