-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Mon 2019-11-04 19:57:01 UTC. --
Nov 04 19:37:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:37:42.653262 I | mvcc: store.index: compact 36150008
Nov 04 19:37:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:37:42.659903 I | mvcc: finished scheduled compaction at 36150008 (took 5.508977ms)
Nov 04 19:39:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:39:11.882241 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (151.482394ms) to execute
Nov 04 19:39:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:39:11.882972 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (180.444141ms) to execute
Nov 04 19:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:39:35.610831 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (129.386612ms) to execute
Nov 04 19:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:39:35.611198 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (129.802545ms) to execute
Nov 04 19:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:39:35.613559 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b4bdj\" " with result "range_response_count:1 size:1121" took too long (129.432755ms) to execute
Nov 04 19:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:39:35.613919 W | etcdserver: request "header:<ID:14919139277660316122 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-b4bdj.15d40ceb8058223f\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-b4bdj.15d40ceb8058223f\" value_size:392 lease:5695767240805540216 >> failure:<>>" with result "size:20" took too long (122.797609ms) to execute
Nov 04 19:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:39:35.626201 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-x6rdv\" " with result "range_response_count:1 size:1121" took too long (127.163561ms) to execute
Nov 04 19:40:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:40:35.672409 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5fp5z\" " with result "range_response_count:1 size:1118" took too long (103.089569ms) to execute
Nov 04 19:40:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:40:35.702104 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xc697\" " with result "range_response_count:1 size:1121" took too long (131.152814ms) to execute
Nov 04 19:40:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:40:35.886582 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (114.145898ms) to execute
Nov 04 19:41:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:41:35.853915 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9q6cm\" " with result "range_response_count:1 size:1121" took too long (143.169204ms) to execute
Nov 04 19:41:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:41:35.887382 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2dc6b\" " with result "range_response_count:1 size:1121" took too long (141.148131ms) to execute
Nov 04 19:41:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:41:35.887636 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-n54t7\" " with result "range_response_count:1 size:1121" took too long (157.832819ms) to execute
Nov 04 19:41:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:41:35.887873 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d40cf97dfff069\" " with result "range_response_count:1 size:485" took too long (175.887638ms) to execute
Nov 04 19:41:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:41:36.079273 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-27bkk\" " with result "range_response_count:1 size:1118" took too long (137.893693ms) to execute
Nov 04 19:41:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:41:36.079757 W | etcdserver: request "header:<ID:14919139277660317332 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d40cf97dfff069\" mod_revision:36151521 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d40cf97dfff069\" value_size:386 lease:5695767240805541480 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d40cf97dfff069\" > >>" with result "size:20" took too long (119.22581ms) to execute
Nov 04 19:42:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:42:35.869301 W | etcdserver: request "header:<ID:14919139277660317938 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-dq5g2.15d40d157a2906b7\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-dq5g2.15d40d157a2906b7\" value_size:392 lease:5695767240805542103 >> failure:<>>" with result "size:20" took too long (101.377814ms) to execute
Nov 04 19:42:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:42:35.870177 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (104.318768ms) to execute
Nov 04 19:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:42:42.953368 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (355.611291ms) to execute
Nov 04 19:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:42:42.953714 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dq5g2\" " with result "range_response_count:1 size:1743" took too long (325.945748ms) to execute
Nov 04 19:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:42:42.954051 W | etcdserver: request "header:<ID:14919139277660318016 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<key:\"compact_rev_key\" version:57578 > success:<request_put:<key:\"compact_rev_key\" value_size:8 >> failure:<request_range:<key:\"compact_rev_key\" > >>" with result "size:20" took too long (297.212997ms) to execute
Nov 04 19:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 19:42:42.970901 I | mvcc: store.index: compact 36150757
