-- Logs begin at Sat 2019-11-02 08:56:48 UTC, end at Tue 2019-11-05 21:26:35 UTC. --
Nov 05 21:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:07:55.008842 I | mvcc: store.index: compact 36390494
Nov 05 21:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:07:55.015630 I | mvcc: finished scheduled compaction at 36390494 (took 5.516759ms)
Nov 05 21:09:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:09:31.825524 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (148.8697ms) to execute
Nov 05 21:09:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:09:31.830248 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g6mvx\" " with result "range_response_count:1 size:1121" took too long (137.238646ms) to execute
Nov 05 21:09:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:09:31.830279 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (112.984157ms) to execute
Nov 05 21:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:10:31.973087 W | etcdserver: request "header:<ID:14919139277661210993 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-xzm8h.15d4607679c1fadb\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-xzm8h.15d4607679c1fadb\" value_size:392 lease:5695767240806435158 >> failure:<>>" with result "size:20" took too long (124.926179ms) to execute
Nov 05 21:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:10:31.974092 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kwpq6\" " with result "range_response_count:1 size:1118" took too long (146.249147ms) to execute
Nov 05 21:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:10:31.993060 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6qw9w\" " with result "range_response_count:1 size:1121" took too long (150.376997ms) to execute
Nov 05 21:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:10:31.993124 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xzm8h\" " with result "range_response_count:1 size:1121" took too long (150.205432ms) to execute
Nov 05 21:10:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:10:32.199869 W | etcdserver: read-only range request "key:\"/registry/masterleases/\" range_end:\"/registry/masterleases0\" " with result "range_response_count:1 size:133" took too long (129.552824ms) to execute
Nov 05 21:10:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:10:36.482584 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pfdvc\" " with result "range_response_count:1 size:1740" took too long (480.852614ms) to execute
Nov 05 21:10:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:10:36.636717 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (108.694831ms) to execute
Nov 05 21:10:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:10:39.678435 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (199.846797ms) to execute
Nov 05 21:11:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:09.938800 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:10 size:16693" took too long (111.842319ms) to execute
Nov 05 21:11:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:31.963775 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2rwwq\" " with result "range_response_count:1 size:1121" took too long (102.131359ms) to execute
Nov 05 21:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:32.193718 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-777g8\" " with result "range_response_count:1 size:1121" took too long (160.155452ms) to execute
Nov 05 21:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:32.194871 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jlcg5\" " with result "range_response_count:1 size:1121" took too long (163.03339ms) to execute
Nov 05 21:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:32.195026 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (162.501792ms) to execute
Nov 05 21:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:32.197126 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cs546\" " with result "range_response_count:1 size:1118" took too long (149.631546ms) to execute
Nov 05 21:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:32.197303 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (142.674578ms) to execute
Nov 05 21:11:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:38.172446 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (454.090362ms) to execute
Nov 05 21:11:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:38.192537 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (331.343454ms) to execute
Nov 05 21:11:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:38.192611 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (140.030248ms) to execute
Nov 05 21:11:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:11:38.192995 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p82tw\" " with result "range_response_count:1 size:1740" took too long (175.921202ms) to execute
Nov 05 21:12:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:12:32.075884 W | etcdserver: request "header:<ID:14919139277661212345 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-pbjsh\" mod_revision:36392732 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-pbjsh\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-pbjsh\" > >>" with result "size:20" took too long (135.006615ms) to execute
Nov 05 21:12:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:12:32.096480 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4607684279934\" " with result "range_response_count:1 size:485" took too long (155.511234ms) to execute
Nov 05 21:12:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:12:55.032524 I | mvcc: store.index: compact 36391809
Nov 05 21:12:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:12:55.040830 I | mvcc: finished scheduled compaction at 36391809 (took 6.425377ms)
Nov 05 21:17:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:17:55.044652 I | mvcc: store.index: compact 36392804
Nov 05 21:17:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:17:55.050600 I | mvcc: finished scheduled compaction at 36392804 (took 4.971117ms)
Nov 05 21:18:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:18:42.799183 I | etcdserver: start to snapshot (applied: 40164956, lastsnap: 40154955)
Nov 05 21:18:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:18:42.889730 I | etcdserver: saved snapshot at index 40164956
Nov 05 21:18:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:18:42.890382 I | etcdserver: compacted raft log at 40159956
Nov 05 21:19:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:19:09.613776 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002641b07.snap successfully
Nov 05 21:19:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:19:39.817001 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (118.294863ms) to execute
Nov 05 21:19:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:19:43.140059 W | etcdserver: request "header:<ID:14919139277661215796 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:36393592 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6412 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (201.7031ms) to execute
Nov 05 21:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:20:13.766938 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (116.779799ms) to execute
Nov 05 21:20:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:20:55.113283 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (258.323726ms) to execute
Nov 05 21:21:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:21:55.363387 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (228.690995ms) to execute
Nov 05 21:22:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:22:55.083044 I | mvcc: store.index: compact 36393386
Nov 05 21:22:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:22:55.087562 I | mvcc: finished scheduled compaction at 36393386 (took 3.679093ms)
Nov 05 21:22:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:22:55.820211 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (403.898699ms) to execute
Nov 05 21:22:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:22:55.820349 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (117.856817ms) to execute
Nov 05 21:22:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 21:22:55.820479 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (160.540005ms) to execute
