-- Logs begin at Sat 2019-11-09 17:59:19 UTC, end at Mon 2019-11-11 22:24:56 UTC. --
Nov 11 22:05:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:05:35.424826 I | mvcc: store.index: compact 37847225
Nov 11 22:05:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:05:35.432839 I | mvcc: finished scheduled compaction at 37847225 (took 6.332283ms)
Nov 11 22:05:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:05:35.596969 W | etcdserver: request "header:<ID:14919139277666995041 > lease_revoke:<id:4f0b6e20c7eb4aaa>" with result "size:29" took too long (106.422433ms) to execute
Nov 11 22:07:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:07:25.728673 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-twlrh\" " with result "range_response_count:1 size:1121" took too long (155.993207ms) to execute
Nov 11 22:08:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:08:25.802787 W | etcdserver: request "header:<ID:14919139277666996748 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37849302 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (125.250865ms) to execute
Nov 11 22:08:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:08:53.177077 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (114.310209ms) to execute
Nov 11 22:09:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:09:25.825122 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s9nbc\" " with result "range_response_count:1 size:1121" took too long (189.899852ms) to execute
Nov 11 22:09:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:09:25.825200 W | etcdserver: request "header:<ID:14919139277666997375 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-72ptc.15d63b28a8289ade\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-72ptc.15d63b28a8289ade\" value_size:389 lease:5695767240812221318 >> failure:<>>" with result "size:20" took too long (178.192808ms) to execute
Nov 11 22:09:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:09:25.827079 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d63b1aadea743f\" " with result "range_response_count:1 size:485" took too long (188.236353ms) to execute
Nov 11 22:09:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:09:26.046947 W | etcdserver: request "header:<ID:14919139277666997399 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:37849490 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (121.188266ms) to execute
Nov 11 22:10:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:10:04.407853 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (133.440901ms) to execute
Nov 11 22:10:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:10:16.366333 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (112.483189ms) to execute
Nov 11 22:10:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 22:10:25.979471 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (170.873568ms) to execute
