-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 02:29:46 UTC. --
Nov 05 02:07:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:07:46.200590 I | mvcc: store.index: compact 36209890
Nov 05 02:07:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:07:46.206620 I | mvcc: finished scheduled compaction at 36209890 (took 3.963499ms)
Nov 05 02:08:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:08:56.334665 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-74hxd.15d422283dca13eb\" " with result "range_response_count:1 size:591" took too long (445.339586ms) to execute
Nov 05 02:08:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:08:56.334816 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (285.902139ms) to execute
Nov 05 02:12:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:12:07.473378 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (111.420899ms) to execute
Nov 05 02:12:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:12:07.491102 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (124.305135ms) to execute
Nov 05 02:12:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:12:07.491459 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cdtds\" " with result "range_response_count:1 size:1121" took too long (105.964715ms) to execute
Nov 05 02:12:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:12:07.685649 W | etcdserver: request "header:<ID:14919139277660533523 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-mnmfb\" mod_revision:36211117 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-mnmfb\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-mnmfb\" > >>" with result "size:20" took too long (125.474336ms) to execute
Nov 05 02:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:12:46.234405 I | mvcc: store.index: compact 36210385
Nov 05 02:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:12:46.238641 I | mvcc: finished scheduled compaction at 36210385 (took 3.280157ms)
Nov 05 02:13:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:13:37.603367 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4226c15a378fb\" " with result "range_response_count:1 size:485" took too long (115.287904ms) to execute
Nov 05 02:13:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:13:37.853673 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wsdpt\" " with result "range_response_count:1 size:1121" took too long (168.191661ms) to execute
Nov 05 02:13:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:13:37.854405 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4226c15a378fb\" " with result "range_response_count:1 size:485" took too long (170.69915ms) to execute
Nov 05 02:13:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:13:37.856429 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (153.197714ms) to execute
Nov 05 02:13:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:13:37.856973 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mv2kh\" " with result "range_response_count:1 size:1121" took too long (131.054485ms) to execute
Nov 05 02:13:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:13:38.095743 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4226c15a378fb\" " with result "range_response_count:1 size:485" took too long (139.40606ms) to execute
Nov 05 02:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:14:37.821899 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b68gg\" " with result "range_response_count:1 size:1118" took too long (155.433651ms) to execute
Nov 05 02:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:14:37.822201 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xzsw4\" " with result "range_response_count:1 size:1121" took too long (153.382013ms) to execute
Nov 05 02:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:14:37.825127 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (147.325501ms) to execute
Nov 05 02:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:14:37.825386 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w6fbl\" " with result "range_response_count:1 size:1121" took too long (128.712106ms) to execute
Nov 05 02:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:14:37.825823 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-mnmfb.15d422732de1076c\" " with result "range_response_count:1 size:592" took too long (132.414855ms) to execute
Nov 05 02:17:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:17:46.250165 I | mvcc: store.index: compact 36211267
Nov 05 02:17:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:17:46.256760 I | mvcc: finished scheduled compaction at 36211267 (took 5.181277ms)
Nov 05 02:22:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:22:39.614149 W | wal: sync duration of 1.422394449s, expected less than 1s
Nov 05 02:22:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:22:39.617560 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.471206157s) to execute
Nov 05 02:22:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:22:39.617711 W | etcdserver: request "header:<ID:14919139277660539300 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:36212826 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (1.425793526s) to execute
Nov 05 02:22:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:22:39.618009 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.258099612s) to execute
Nov 05 02:22:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:22:39.627534 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (964.74642ms) to execute
Nov 05 02:22:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:22:46.262985 I | mvcc: store.index: compact 36212174
Nov 05 02:22:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:22:46.268321 I | mvcc: finished scheduled compaction at 36212174 (took 4.358727ms)
Nov 05 02:27:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:27:46.275315 I | mvcc: store.index: compact 36212863
Nov 05 02:27:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 02:27:46.281251 I | mvcc: finished scheduled compaction at 36212863 (took 4.639437ms)
