-- Logs begin at Wed 2019-12-18 04:30:31 UTC, end at Thu 2019-12-19 16:17:16 UTC. --
Dec 19 15:55:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 15:55:56.024071 I | mvcc: store.index: compact 45072815
Dec 19 15:55:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 15:55:56.034468 I | mvcc: finished scheduled compaction at 45072815 (took 8.901557ms)
Dec 19 15:59:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 15:59:29.594952 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (105.538771ms) to execute
Dec 19 16:00:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 16:00:36.827089 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (121.249422ms) to execute
Dec 19 16:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 16:00:56.038878 I | mvcc: store.index: compact 45073562
Dec 19 16:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 16:00:56.046137 I | mvcc: finished scheduled compaction at 45073562 (took 5.754558ms)
Dec 19 16:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 16:00:56.263146 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (106.484731ms) to execute
Dec 19 16:02:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 16:02:52.519420 W | wal: sync duration of 1.486227507s, expected less than 1s
Dec 19 16:02:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 16:02:52.523347 W | etcdserver: request "header:<ID:14919139277707634026 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:45074784 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (1.489210033s) to execute
Dec 19 16:02:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 16:02:52.523533 W | etcdserver: failed to revoke 4f0b6e20ca5764fd ("lease not found")
Dec 19 16:02:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 16:02:52.523711 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.28489101s) to execute
