-- Logs begin at Sat 2019-11-09 17:59:19 UTC, end at Mon 2019-11-11 19:43:23 UTC. --
Nov 11 19:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:21:28.167968 W | wal: sync duration of 1.073970192s, expected less than 1s
Nov 11 19:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:21:28.168445 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (1.066274266s) to execute
Nov 11 19:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:21:28.333768 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.063772486s) to execute
Nov 11 19:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:21:28.334168 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.098588052s) to execute
Nov 11 19:21:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:21:45.220839 W | etcdserver: request "header:<ID:14919139277666882615 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:37819779 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (737.184464ms) to execute
Nov 11 19:21:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:21:48.642138 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (437.2951ms) to execute
Nov 11 19:21:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:21:48.724577 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (293.761735ms) to execute
Nov 11 19:21:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:21:48.724918 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (444.519811ms) to execute
Nov 11 19:21:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:21:55.852036 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (584.136678ms) to execute
Nov 11 19:22:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:22:18.112522 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (146.518181ms) to execute
Nov 11 19:22:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:22:19.056183 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (169.829761ms) to execute
Nov 11 19:22:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:22:19.056396 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (225.943968ms) to execute
Nov 11 19:22:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:22:30.411107 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (101.494742ms) to execute
Nov 11 19:22:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:22:35.912775 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (310.996263ms) to execute
Nov 11 19:22:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:22:35.913413 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (247.310778ms) to execute
